dominance     n.优势, 控制, 权势, 【生】显性
syndrome     n.综合症状, 典型意见, 典型表现
cord     n.绳索；粗线；电线
bulk     n.大宗，大批（买卖）；（大）体积，（大）量
aspect     n.方面；外观，样子
elaborate     adj.复杂的；详尽的；精致的
descriptor     n.叙词
diameter     n.直径
transaction     n.交易，生意；处理，办理
superior     adj.(质量等方面)比…好的, 比…强的; (职位、地位、等级等)更高的; 上级的; 有优越感的; 高傲的
necessity     n.必要；必然；必需品
artifact     n.人工制品, 【生】(组织结构的)人为现象
emperor     n.皇帝；君主
classify     v.分类，归类
fiber     n.〈美〉同“fibre”，（食物中的）纤维素, （织物或绳等）纤维制品
stereotype     n.刻板印象, 模式化观念(或形象), 老一套; 铅版
lexical     adj.词汇的
philosopher     n.哲学家, 深思的人, 善于思考的人
capitalist     n.资本家, 资本主义者
essentially     adv.基本上, 本质上, 根本上
residue     n.残渣, 残留物, 剩余物, 剩余遗产
profound     adj.深远的，深切的；深奥的；渊博的，造诣深的；极度的，彻底的
mortality     n.死亡率, 生命的有限, 死亡数量
politically     adv.政治上
bizarre     adj.奇异的；古怪的
replicate     v.复制, （精确地）仿制, 再造, 再生
shuttle     n.往返航班（班车）；梭子
empirical     adj.经验主义的；依靠经验的
fringe     n.外围, 边缘；刘海儿；流苏
comparable     adj.可比作…的; 相似的, 类似的; 相当的; 比得上的, 可相比的
infect     v.传染; 感染; 污染; 使受影响, 传播给某人; [计算机]感染病毒
enforcement     n.实施, 执行, 强制
epidemic     n.流行病; 流行, 传播; 流传, 盛行
longitudinal     adj.经度的；纵向的
readily     adv.乐意地，欣然地；轻松地，容易地
minus     prep.减去
transmit     v.传输，传送；传达，传输（思想、感情）；传导（声、电等）；发送信号
gut     n.胃, 肚子; 内脏; 消化道, 肠道; 勇气, 胆量, 毅力; 直觉, 本能; 核心, 要点
factorial     n.阶乘
motive     n.动机，缘由，目的
conservation     n.保护，保存
volition     n.意志力，自愿选择，自行决断
millimeter     n.毫米
marble     n.大理石；弹珠
phonological     adj.音韵学的
variant     n.变体, 变种, 变形
goodness     n.善良，美德；（食物中）有益（或营养）成分
inferior     adj.次等的，较差的；（级别）较低的
nationalism     n.民族主义, 国家主义, 民族自豪感, 民族优越感
constrain     v.妨碍；束缚
stance     n.姿势；观点，立场
rotation     n.旋转, 转动, 轮换, 交替
protocol     n.议定书, 礼仪, 外交礼节, 条约草案
observer     n.观察者
inversion     n.倒置，颠倒；转位
randomly     adv.随便地；任意地；无目的地
pest     n.害虫；讨厌的人（或物）
systematic     adj.成体系的；系统的；有条理的；有计划有步骤的
bodily     adj.人体的, 身体的
inevitably     adv.必然, 必定, 免不了
modification     n.修改; 改造; 改变; 缓和; 减轻; 修改后的形式, 变体; [语]修饰, 限定
diagnostic     adj.诊断的, 判断的
agriculture     n.农业
comprehension     n.理解（力），领悟
nitrogen     n.氮, 氮气
assert     v.明确肯定，断言；主张，坚持；坚持自己的主张
hip     n.髋；臀部；野蔷薇果
node     n.节点, 结点, 茎节, （根或枝上的）节
homework     n.家庭作业, 功课
amino     adj.【化】氨基的
availability     n.有效, 可得到的东西[人员], (候选人的)当选可能性;可用性；有效性；实用性
nest     n.窝, 鸟巢, 巢穴, 鸟窝
antibiotic     n.抗菌素
terminal     n.航空站；终端机；终点，末端
minimize     v.使减少到最低限度；贬低，使显得不重要
subtle     adj.不易察觉的；微妙的；敏锐的，机智的；精巧的
motif     n.（作品的）主题, 主旨；装饰图案, 装饰图形
metabolism     n.新陈代谢
vitamin     n.维生素；维他命
spatial     adj.空间的
vector     n.向量, 矢量, 载体, （航空器的）航线
depict     vt.描述; 描绘; 描写; 描画
amongst     prep.〈书〉同“among”；在…中, 周围是, 在（其）中, …之一
infinite     adj.无限的，无穷无尽的；极大的
fatigue     n.疲乏，疲劳，疲倦
found     v.建立, 创建, 铸造, 把…基于；找到（find的过去分词）
vocabulary     n.词汇，词汇量；词汇表
noisy     adj.吵闹的, 聒噪的, 嘈杂的, 充满噪音的
arrow     n.箭头, 箭号
suicide     n.自杀；自取灭亡的行为；自杀者
gross     adj.总共的；严重的；恶心的
developmental     adj.发育中的, 进化中的, 开发中的, 发展的
textbook     n.教材, 教科书, 课本
sketch     n.草图，略图，素描；简述，概要；小品
constitution     n.宪法；构成，组成； 体质，体格
broadly     adv.大体上, 基本上, 不考虑细节地, 咧开嘴（笑）的
valid     adj.有效的；有确实根据的；正当的，合法的
statistics     n.统计数据
appendix     n.附录；阑尾
dissolve     v.溶解；解散；解除
flux     n.不断的变动，不停的变化；通量，流动
connector     n.连接器, 连接物, 连线
calculation     n.计算
campus     n.（大学）校园
horizontal     adj.水平的, 与地面平行的, 横的
syntactic     adj.句法的
autonomy     n.自治, 自主, 自主权, 自治权
rotate     v.（使）旋转，（使）转动；（使）轮流
symbolic     adj.使用象征的, 作为象征的, 象征性的
domination     n.统治, 优势, 【生】显性化, 【宗】主天使
emergence     n.出现, 【虫】羽化, 【植】突出体, (柑果的)瓤胞
rainfall     n.降雨量, 下雨
incredibly     adv.非常, 极其, 难以置信地, 不可思议地
rhetoric     n.修辞, 花言巧语, 华而不实的言语, 修辞技巧
deliberately     adv.故意地，蓄意地；从容不迫地；小心慎重地
distribution     n.分配；分布
importantly     adv.重要的是, 自负地, 自命不凡地
fin     n.鳍, 肋片, 【航海】(潜水艇的)鳍板, 【火箭】舵
null     adj.没有价值的, 无用的, 【法】无法律效力的, 【科技】没有
maximize     v.使增加到最大限度, 充分利用, 最大限度地利用
periodic     adj.周期的，定期的，间歇的
regression     n.回归, 退化, 倒退
messenger     n.信使, 送信人, 通信员, 邮递员
feedback     n.反馈；反馈信息
sometime     adj.以前的, 某一时间
amplitude     n.振幅
outlet     n.出口；发泄途径；批发商店
equivalence     n.等值, 等效, 当量, 相等
elevate     v.提高，使升高；举起，抬起；提拔，晋升；使精神振奋
syntax     n.句法, 句法规则, 语构
contrary     adj.相反的，截然不同的
habitat     n.生长环境, 栖息地; 人类居住地; 海底实验室人员居住的加压舱
pesticide     n.杀虫剂, 除害药物
impulse     n.冲动，心血来潮；脉冲；冲击；冲量；推动力；刺激
plantation     n.种植园, 木材林地, 人造林
fraction     n.一部分，小部分；碎片；些微，一点儿；分数；小数
jazz     n.爵士乐
dilemma     n.（进退两难的）窘境
grid     n.格子，栅格
par     n.(高尔夫球的) 标准杆数；票面价值；标准
mechanic     n.技工，机修工
utilize     v.利用
punish     v.惩罚, 处罚, 对…判罪, 判定…的处罚方式
basin     n.盆，脸盆；洗手池；盆地；流域；内港
evident     adj.明显的，清楚的
biodiversity     n.生物多样性（大量各种生物的共存以维持生态环境平衡）
allocate     v.分配；分派
verbal     adj.口头的, 言语的, 词语的, 口头（而非书面）的
arbitrary     adj.任意的；武断的, 随心所欲的；专横的；反复无常的
globalization     n.全球化
wisdom     n.智慧；才智；明智；学识，学问
faculty     n.能力，才能； 全体教职员
mentor     n.导师, 顾问
republic     n.共和国，共和政体
colonial     adj.殖民的；殖民国家的
hierarchy     n.等级制度；层次
industrialize     v.（使）工业化
socialize     v.交际, 使适应社会, 使社会主义化, 按社会主义原则行事
deficiency     n.缺乏，不足，缺点
skip     v.跳跃，蹦跳；略过，跳过，省略
transcribe     vt.誊写；打印；转录
potassium     n.钾
cortex     n.皮质, 皮层, （尤指）大脑皮层
prejudice     n.偏见，成见
thereby     adv.因此; 由此; 从而
realism     n.现实主义, 现实性, 逼真, 务实作风
independently     adv.独立地, 自由地
residual     adj.剩余的；残留的
bracket     n.支架, 括号, 方括号, 等级
pi     n.圆周率, 希腊字母表的第 16 个字母
productivity     n.生产率；生产力；生产能力
accuracy     n.准确（性），精确（性）
semantic     adj.语义的
commonly     adv.通常, 普遍, 常常, 平常
athletic     adj.健壮的, 体育运动的, 田径运动的
descendent     n.后裔, 子孙; 派生物
processor     n.处理器, 加工机（或工人）, 处理机
portfolio     n.文件夹, 职务, 有价证券组合, 公事包
minimal     adj.最小的，最低限度的；极小的
consonant     n.辅音, 辅音字母（如 b、c、d、f 等）
absorption     n.吸收；并入，同化；专心致志，全神贯注
tract     n.(连通身体组织或器官的)道, 束; 地带, 大片土地; 小册子
numerical     adj.数字的；用数字表示的
multinational     adj.跨国的, 涉及多国的
primitive     adj.原始的；早期的；简陋的
substrate     n.底物, 基底, 基层, 底层
mathematical     adj.数学(上)的，精确的，确定无疑的
powder     n.粉末, 细面, 扑面粉, 美容粉
repertoire     n.（总称某人的）可表演项目, （某人的）全部才能
theorem     n.定理
ancestor     n.祖宗，祖先
sufficiently     adv.足以, 十分, 充分地, 最大限度地
utterance     n.话语, 说话, 用言语的表达, 言论
cure     v.治疗，治愈
practitioner     n.（尤指医学或法律界的）从业人员, 习艺者, 专门人才
conduction     n.（热或电等能量的）传导
tutor     n.家庭教师；私人教师；导师；助教
neo     pref.新
niche     n.壁龛, 舒适或称心的工作（或生活等）, （产品的）商机, 市场定位
diagnosis     n.诊断, （问题原因的）判断
helix     n.螺旋（形）
watershed     n.分水岭, 转折点, 分水线, 分水界
congruent     adj.全等的, 叠合的, 适合的, 适当的
leaf     n.叶子; (书籍等的)一张; 扇页
ghost     n.鬼, 幽灵, 鬼魂, 一点
fetal     adj.胎儿的, 胎的
multi     prefix.多种, 多数
rack     n.架子, 支架, 挂物架; 行李架; 喂草架; 痛苦, 折磨; 齿条, 齿轨; (羊、猪等带前肋的)颈脊肉
quantitative     adj.数量的，定量的，量化的
matrix     n.矩阵, 基体, （人或社会成长发展的）社会环境, 线路网；母体
velocity     n.速度，速率；高速
biology     n.生物学, 生理
incidence     n.发生率；发生范围；影响程度；入射（角）
conceptual     adj.概念（上）的, 观念（上）的
naked     adj.裸体的；无遮蔽的；毫不掩饰的，明摆着的
dictionary     n.词典, 字典, 辞书, 专业术语大全
enzyme     n.酶
rope     n.绳索, 粗绳, 线缆, 圈绳; (the ropes)诀窍, 窍门
antibody     n.抗体（血液中抵抗疾病或当某些物质进入身体时产生反应的物质）
duration     n.持续时间，期间
integration     n.一体化, 结合, 融入群体或社会, 【政】取消种族隔离
irrelevant     adj.不相关的；离题的
pragmatic     adj.实用的, 讲求实效的, 务实的
incredible     adj.难以置信的，惊人的；极好的；极大的
orientation     n.方向，目标；个人基本信仰，态度；入职培训
denominator     n.分母；共同特征；命名者；平均水平或标准
logical     adj.符合逻辑的，逻辑上的
contradiction     n.矛盾，不一致
kilometer     n.公里
synthetic     adj.(物质)合成的; 人造的; 综合的
puzzle     n.谜，疑问，难题，智力游戏，拼图
quotation     n.引语，语录；报价
tremendous     adj.巨大的；惊人的；极好的
epidemiology     n.流行病学
composite     n.合成物；混合物；复合材料
outer     adj.外表的, 外边的, 远离中心的, 外围的
physically     adv.身体上地，肉体上地；按自然规律地；根本上，实际上
flip     v.快速翻转；抛掷
intervene     v.干涉，干预，阻挠；调停；打断（说话）；发生于…之间
stadium     n.【体】露天大型体育场，体育馆； 【病】病期，【生】生长期，龄期
deceive     v.欺骗，蒙蔽
unify     v.联合, 统一, 使成一体, 使一元化
neural     adj.神经的, 神经系统的
plausible     adj.(解释或叙述) 看似合理的，看似道理的；貌似可信的, 巧言令色的, 花言巧语的
generalize     v.概括；归纳
goat     n.【动】山羊, 〈非正式,侮辱〉老色鬼
horizon     n.地平线；视野；见识
aesthetic     adj.美学的；审美的
continent     n.洲; 大陆
elevation     n.海拔；高地；提拔；升高；〔建筑物的〕立面(图)；立视图
phenomenal     adj.了不起的, 非凡的
probe     v.盘问，追问；探查，探测
whichever     pron.无论哪一个, 究竟哪一个
manual     adj.手工的，体力的
replication     n.(绘画等的)复制, 拷贝, 【统】重复(实验), (尤指对答辩的)回答
physics     n.物理学
hedge     v.种树篱围住；设障碍于，阻碍；回避，避免直接回答；采取保值措施以避免损失
oxidize     v.（使）氧化；（尤指使）生锈
syllable     n.音节
media     n.大众传播媒介
cheer     n.欢呼声, 喝彩声, （拉拉队的）加油歌, 欢乐（或幸福）的气氛
backward     adj.向后的
alien     n.外侨，外国人；外星人
electron     n.电子
audit     n.审计, (地主与佃户间的)决算
sniff     v.嗅，闻；（哭泣或感冒时）抽鼻子；嗤之以鼻地说
surgical     adj.外科的, 外科手术的
diagnose     v.诊断；判断
qualitative     adj.质量的；性质上的
paradigm     n.范例, 〈正式〉模型, 〈正式〉模范, 【语】词形变化表
singular     adj.单数的；非凡的，突出的；奇特的，异常的
invasion     n.入侵，侵略
irrigation     n.灌溉
sneeze     v.打喷嚏
barrel     n.桶; 一桶(的量); 枪管; 笔杆
particle     n.极少量；微粒，粒子
Mercury     n.水星; (m小写)水银, 汞
liable     adj.有义务的，应负责的；有...倾向的
gravity     n.严重性；地心引力，重力；庄重，严肃
parameter     n.参数, 范围, 决定因素, 规范
slavery     n.奴隶制；奴隶制度
solute     n.【化】溶质, 溶解物
ecology     n.生态；生态学
resemble     v.与……相似，类似
tense     adj.拉紧的，绷紧的；令人紧张的
dynamic     adj.有活力的，精力充沛的；动态的，发展变化的
proposition     n.（商业的）提议，建议；观点，主张；欲做的事，待处理的问题；任务
secrete     v.分泌, 隐藏
applause     n.鼓掌；喝彩
sperm     n.精子, 精液
deviation     n.偏离，背离；偏差；违背
morphology     n.【生】形态学, 词法学
liver     n.肝
approximation     n.近似值, 粗略估算, 类似事物
formally     adv.形式上, 正式地, 遵照一定格式地
triangle     n.三角（形）
fungus     n.真菌；菌类
apple     n.苹果
simulate     v.模仿，模拟
censor     n.（书籍、电影等的）审查员，审查官
supposedly     adv.据说, 据信, 据传
click     v.单击, （使）发出咔哒声, 被突然明白, 豁然开朗
clarify     v.澄清，阐明
partition     n.隔墙，隔板；分割，分治，分裂
identical     adj.相同的，同样的
turbulent     adj.动荡的, 动乱的, 骚动的, 混乱的; 汹涌的, 猛烈的
molecular     adj.分子的
optimum     n.最佳效果；最适宜条件
disability     n.伤残, 残障; (生理或精神上的)缺陷; 无能力, 无力
sensory     adj.感觉的，感官的
anthropology     n.人类学
carrier     n.搬运者; 运输工具; 运输公司; 通讯公司;  航空母舰; 带菌者; [生化]载体
consumption     n.消费，消耗；食用；饮用；肺痨
linguistic     adj.语言的，语言学的
ethical     adj.（有关）道德的, 伦理的, 合乎道德的
inject     v.给…注射；添加，增加；给…投入（资金）
critique     n.批判
temporal     adj.世间的, 世俗的, 现世的, 时间的, 暂时的，当时的
reservoir     n.水库; 蓄水池; 贮液槽; 储藏所, 仓库; 储藏, 蓄积; 宝库; 储液囊
super     adj.顶好的, 超级的, 顶呱呱的
polar     adj.两极的；极地的；完全对立的，截然不同的
elastic     n.橡皮带
coefficient     n.系数, （测定物质某种特性的）系数
civilization     n.文明，文化
correlate     v.相互关联影响，相互依赖；显示相关性
primer     n.底漆, 初级读本, 底层涂料, 入门书
morphological     adj.形态学(上),语形学的
ritual     n.习惯, 程序, 仪规, 礼节
characterization     n.塑造, 描述方法, 界定方法
sensible     adj.明智的，理智的；合理的；可以感觉到的
surgeon     n.外科医生
complement     v.补充，补足，使完美；使更具吸引力
derivative     n.衍生物, 派生词, 衍生字, 派生物
damp     adj.潮湿的
discrimination     n.歧视；辨别力，鉴赏力；识别，区别
productive     adj.多产的，高产的；富有成效的
pre     prefix.在……之前
parenthesis     n.插入语，括号
confound     v.使困惑惊讶, 使惊疑, 证明…有错, 战胜（敌人）
sediment     n.沉积物, 沉淀物
capitalism     n.资本主义
discrete     adj.分离的, 互不相连的; 离散的
instinct     n.本能，天性；直觉
static     adj.静止的，静态的；不变化的
circulate     v.流通, 循环; 传播, 流传, 散布; 传递, 传阅
inclusion     n.包含, 被包括的人（或事物）
explicitly     adv.明确地，清楚明白地
historically     adv.在历史上
coronary     adj.冠状动脉的
methodology     n.（从事某一活动的）方法
discourse     n.对话；话语；演讲；论文
sensation     n.感觉，知觉；感觉能力，知觉能力；轰动，哗然，引起轰动的人或事
dense     adj.稠密的，密集的，浓厚的
competent     adj.有能力的，能胜任的
ruler     n.统治者, 尺子, 直尺, 【计】标尺
hydrogen     n.氢, 氢气
occupation     n.职业；占领，占用；消遣；业余活动
solvent     adj.有偿付能力, 无债务, 有溶解力的, 可溶解的
sodium     n.钠
correctly     adv.正确地；实事求是；恰当地；得体地
sponsorship     n.资助, 主办, 赞助款, 倡议
tumor     n.【医】肿瘤
cone     v.使成锥形, 把…卷于锥状体上, (探照灯)集中探照(敌机)
neutral     adj.中立的，中性的
artwork     n.艺术作品, 插图, 美术品, 插画
architect     n.建筑师，设计师；缔造者，创造者
novice     n.新手, 初学者, 初学修士（或修女）, （修会等的）初学生
monetary     adj.（尤指一国）货币的,金融的
trans     prefix.反, 转移, 超越, 变化
articulate     v.说, 表达, 清晰认真地发音, 【语言学】形成(声音)
rationality     n.合理性, 推理力, 理由, 合理的意见[行动]
utility     n.公共设施，公共事业；效用；实用
acidic     adj.【化】酸性的, 含酸的, (味道)酸的, 〈比喻〉尖酸的
flexibility     n.韧性；适应性
predominantly     adv.占主导地位地，显著地
facilitate     v.促进；助长；使便利，使容易；帮助
blank     adj.空白的；无表情的
sub     n.替补队员, （向俱乐部等定期交纳的）会员费, 助理编辑, 审校人
namely     adv.即, 也就是
corpus     n.全集；语料库
freely     adv.坦率地, 无拘无束地, 慷慨地, 不受限制地
loop     n.环，圈
progressive     adj.进步的，先进的；逐步的
gram     n.克(公制基本重量单位)
deadline     n.最后期限
organ     n.(人体或动植物的)器官; 风琴; 口琴; 机构, 机关
resistant     adj.抵制的，反抗的，抗拒的；有抵抗力的；抵抗…的；不受……损害的
graph     n.图, 图表, 曲线图
weave     v.编织，组合，编排
credibility     n.可信性, 可靠性
trauma     n.外伤, 损伤, 精神创伤, 痛苦经历
criteria     n.标准, 尺度
mid     prep.〈诗〉同“amid”
radar     n.雷达
separation     n.分离, 分开, 分割, 隔离
consensus     n.一致的意见, 共识
dependence     n.依赖, 瘾, 相关（性）, 相依（性）
interrupt     v.中断；打断；插嘴；妨碍
precipitate     v.使…突然降临, 加速（坏事的发生）, 使突然陷入（某种状态）
strictly     adv.严格地, 无论如何, 完全地, 确切地
erase     v.抹去, 清除, 消除, 消灭
offspring     n.子女，后代；幼崽；幼苗
transcription     n.抄写, 誊写, 打印, 书面标注的事物
adaptation     n.适应；改编
clay     n.泥土，黏土
discharge     v.允许离开（医院、军队）；开除，解雇；排出，放出（电量）；开枪，开炮
defect     n.缺点，缺陷
questionnaire     n.调查表，问卷
calculator     n.计算器
partially     adv.部分地；在某种程度上；有点儿
swap     v.交换；交易
accent     n.重音; 口音, 腔调; 注重点
psychology     n.心理学
thickness     n.厚度; 层; 粗; 密度; 浓度; 笨重
composer     n.音乐创作者；作曲者；作曲家
marrow     n.髓，骨髓
positively     adv.绝对地，肯定地，明确地；积极地，乐观地；赞成地；带正电地
norm     n.规范，行为标准；常态，正常行为
wheat     n.小麦, 小麦籽
induce     v.诱使，引诱；引起，导致；催生
migration     n.迁移, 迁徙, 转移, 移居
tricky     adj.难办的, 难对付的, 狡猾的, 诡计多端的
artificial     adj.人造的；虚伪的
thesis     n.论文，学位论文；命题，论题
scroll     n.卷轴, （石刻或木雕的）涡卷形装饰
pathway     n.小道，小径；路线；道路；途径
workshop     n.研讨会，讲习班；车间；作坊
chloride     n.氯化物
rhythm     n.节奏，韵律；规律性变化
clip     v.剪辑；修剪；削减；夹住
generalization     n.概括；归纳；泛论
monopoly     n.垄断；专营服务；独占
beam     n.光线，光束；射束；横梁；眉开眼笑
surplus     n.过剩; 剩余; [会计]盈余; 公积金; 顺差
overlap     v.（与…）交叠，部分重叠；时间交叠；有共同之处
bleed     v.流血, 失血, 给（某人）放血, 长期榨取（某人的钱）
diagram     n.图解，图表
manipulate     v.熟练地操作，使用；（暗中）控制，操纵
urine     n.尿, 小便
marker     n.标记，标志
formulation     n.规划; 构想; 系统的阐述; 配制; 制剂; 公式化的表达; 公式化
ton     n.吨（英国为 2 240 磅，即长吨, 美国为 2 000 磅，即短吨）
specimen     n.样本，标本；具有…特性的人；…的典型
ideology     n.意识形态, 思想意识, 思想（体系）, 观念形态
definite     adj.明确的，一定的；确凿的，确切的
genetically     adv.从遗传学角度；从基因方面
donor     n.捐赠者, 献血者, 捐赠机构, 器官捐献者
facet     n.方面, （宝石的）小平面
initiation     n.开始, 发起, 创始, （常指通过特别仪式的）入会
impact     n.影响，作用，冲击
pulse     n.脉冲, 脉搏, 脉率, 强劲的音乐节拍
embed     v.把…牢牢地嵌入（或插入、埋入）, 派遣（战地记者、摄影记者等）
demonstrator     n.（集会或游行的）示威者, 示范者, 演示者
underneath     prep.在…下面
virtue     n.美德；优点；善行
diary     n.日记, （工作日程）记事簿, 日记簿
subjective     adj.主观（上）的
economist     n.经济学家, 经济专家
liter     n.〈美〉同“litre”，升，公升（容量单位）
subtract     v.减去；去掉
clue     n.线索；提示
seminar     n.研讨会
punch     n.一拳，一击；感染力，吸引力；打孔器
mineral     n.矿物；矿物质
accurately     adv.精确地，准确地
transplant     v.移植；移栽；移居，迁居
clever     adj.聪明的, 聪颖的, 熟练的, 灵巧的
circulation     n.血液循环; 流通, 环流; (货币、资料等)流通, 流传; (书报等)发行, 发行量
sin     n.罪, 罪行, 过失, 过错
drain     v.耗尽；排出，排干；喝光
approximate     adj.大约的，近似的
unemployed     adj.失业的, 待业的, 下岗的
