responsible     adj.有责任；承担义务的；应受责备；可信任的
install     v.安装；安置，安顿；任命
variety     n.品种, 变化, 多样化, 变体
elect     v.选举，选择
vary     v.（使）改变，使多样化；变化；不同，有差异
sweep     v.扫除，打扫；拂去；掠过，席卷
push     v.推, 推动, 推进, 按, 推销
instance     n.实例, 例子, 事例
complicate     v.使难以理解；使复杂化
priority     n.优先权；优先事项，首要的事情
via     prep.通过, 经由
fee     n.报酬, 专业服务费, 咨询费, （加入组织或做某事付的）费
machine     n.机器, 机械装置, （不提全称时的简略说法）机器, （组织的）核心机构
convince     v.说服，使……相信
opposite     adj.对面的; 相反的, 截然不同的
corner     n.角, 拐角, 街角, 墙角
agent     n.经纪人，代理人，代理商；药剂；特工；原动力，动因
dad     n.爸爸, 爹爹
inch     n.英寸（长度单位，等于 2.54 厘米，1 英尺等于 12 英寸）
income     n.收入, 收益, 所得
shoot     v.开（枪或其他武器）, 射击, 发射, 射杀
brother     n.（同父母的）兄, （称男性的共事者或同道）同事
brown     adj.棕色的, 褐色的, （皮肤）棕色的
court     n.法庭; 法院; 全体法官(审判员); 审判庭; 球场; 朝廷; 宫廷; 院子; 殷勤; 追求, 求婚
warm     adj.温暖的, 暖和的, 保暖的, 保温的
shoulder     n.肩膀；（衣服）肩部；路肩
properly     adv.正确地, 适当地, 恰当地, 得体地
equivalent     adj.等价的，相等的
era     n.时代；年代；时期
influence     n.影响，作用；支配力；势力； 有影响的人(或事物)
peer     n.同龄人；同辈；身份地位相同的人；（英国）贵族
blood     n.血, 血统, 有…类型的血的, 家世
crew     n.全体船员; 全体乘务人员; 全体机务人员; 一队(或一组)工作人员; 一群人
manufacture     v.制造，加工
critical     adj.批评的, 批判的; 紧要的, 关键性的; 严重的, 危急的; 审慎的, 严谨的; 评论性的; 挑剔的; 临界的
concentration     n.专心；集中；浓度
reality     n.现实, 事实, 实际情况, 实际经历
cross     v.(使)交叉; 穿越, 渡过; 横跨; 划掉, 叉掉
net     n.纯利, 净值, 实价, 纯量；网；网络；陷阱
cast     v.投射(光、影、视线等); 投, 抛; 浇铸, 铸造; 为…选派演员; 制订; 安排; 丢弃; 剔除
insist     v.坚持；坚决认为（或主张、要求）
lady     n.女士, 夫人, 小姐, 淑女
annual     adj.每年的，年度的，一年生的
everywhere     adv.到处, 处处, 各个地方, 所有地方
recognize     v.认出；认可，承认
recommendation     n.推荐，介绍；正式建议，提议；推荐信
examination     n.检验, 审查, 考察, 调查
mathematics     n.数学, 运算, 计算
apparent     adj.显而易见的，显然；貌似的，表面上的
suppose     v.（根据所知）认为, 推断, 料想, 假定, 假设, 设想
volume     n.量, 额; 体积; 容积, 容量; 音量; 卷, 册; 合订本
current     n.水流, 气流; 电流; 趋势, 趋向; 股, 阵
refer     v.提到；说起；描述；与……相关；参考；查阅
ten     num.十
exchange     n.交换，交流；兑换；交换物
graduate     v.毕业
apply     v.应用, 使用; 申请； 涂, 敷
attempt     n.尝试，企图，试图
cable     n.缆绳，钢索；电缆；电报；有线传输系统
paint     n.颜料; 油漆; 涂料
restrict     v.限制，约束；限定
region     n.区域, 行政区, （一国除首都以外的）全部地区
exist     v.存在, 生存, 实际上有
regulation     n.规章制度；管理，控制
expense     n.费用, 开支, 花费, 开销
memory     n.回忆, 记忆力, 【计】存储器, 【计】内存
slow     adj.慢, 缓慢的, 迟缓的, 耗时的；迟钝的，愚笨的
mental     adj.精神的，心理的；脑力的
cancer     n.癌, 恶性肿瘤, 巨蟹座, 毒瘤
religion     n.宗教；宗教信仰
growth     n.生长, 成长; 增大, 发展; 增加, 繁殖; 生长物;【医】肿瘤，赘生物
guarantee     v.确保；保证；担保
debt     n.债务, 欠款; 负债状态; 义务; 恩义
decade     n.十年
declare     v.宣布，声明；申报
pattern     n.图案, 花样, 式样; (事情发生、发展、完成的) 模式, 方式, 形式; 模范, 典范, 榜样; [用以制作某物的]模型; (服装的) 纸样
factory     n.工厂, 制造厂
milk     n.乳汁, 乳液, （牛或羊等的）奶
associate     v.联系，联想
define     v.给（尤指单词）下定义；说明，解释；规定，界定
reporter     n.记者, 通讯员
society     n.社会, 学会, 协会, 社团, 交往
usually     adv.通常, 一般, 常常
delight     n.快乐，愉快
requirement     n.必要条件, 所需的（或所要的）东西, 必备的条件
solid     adj.固体的，结实的；可靠的；实心的
deny     v.否认；否定；拒绝承认；拒绝接受；拒绝给予
depend     v.依赖, 取决于, 信任 (on, upon), 悬挂
mobile     adj.可动的, 可移动的; 流动的; 多变的; 行动方便的
respectively     adv.各自地，分别地
deserve     v.应得，值得
fast     adv.快速, 迅速, 不久, 立即；紧紧地；彻底地
title     n.标题, 名称, 头衔, 职称, 所有权凭证, 冠军地位
source     n.来源, 源头, 根源, 原因
certainly     adv.当然, 肯定, 无疑, 确定
motion     n.运动；移动；动作；动议
pick     v.选择, 挑选, 摘, 采
revolution     n.革命；重大变革；巨大变化
dollar     n.元（美国、加拿大、澳大利亚等国的货币单位）, 一元（纸币或硬币）
rich     adj.富有的, 富裕的, 油腻的
movement     n.移动, 活动, 迁移, 乐章
female     adj.女的, 女性的, 雌的, 母的
notice     v.注意, 留意, 意识到, 注意到
pilot     n.飞行员, 领航员, 引水员, (航空器)驾驶员
identity     n.身份, 同一性, 一致, 特征
reply     v.答复, 回答, 回应, 作出反应
sequence     n.一系列，一连串；顺序，序列；（电影中描述某一组动作的）连续镜头，片段
heavily     adv.在很大程度上；大量地；沉重地；悲伤的；令人心情沉重；满载重物地；重载地
heavy     adj.重的, 沉的, 比一般严重的, 大而结实的
fight     v.战斗, 打架, 作战, 与……作斗争, 参与竞争
hell     n.地狱；苦难的经历, 悲惨的境况
river     n.河, 河流
myself     pron.亲自, （用于动作影响说话人或作者时）我自己
approximately     adv.大约, 大概, 约莫
lack     n.缺乏, 短缺, 匮乏
final     adj.最终的, 最后的, （指结果）最终的, 决定性的
enterprise     n.组织；公司，企业；（重大）计划，事业；进取心，创业精神
entertainment     n.娱乐，娱乐节目；娱乐表演
nation     n.国家, 民族, 国民
church     n.【宗】教堂, 【宗】教徒, 【宗】教派, 【宗】教会
enable     v.使……能够，使可行；准许
presence     n.存在；出席，在场；风度，风采
plenty     pron.大量, 充足, 众多
hi     int.〈非正式〉嗨
root     n.根, 根茎, 起源, 鲁特, 【圣】子孙
stage     n.阶段, 步, 步骤, 舞台, 驿站
false     adj.错误的, 不正确的, 不真实的, 非天生的；虚伪的，假的
reward     n.奖励；回报；报酬；赏金
fit     v.适合；安装
police     n.警方, 警察部门
distinction     n.区别，差别；卓越，杰出
standard     n.规范, 正常的水平, 应达到的标准, 行为标准；旗帜
politician     n.政治家, 政客, 从政者, 见风使舵者
proceed     v.继续进行；接着做
hole     n.孔, 洞, 坑, 漏洞
holiday     n.假日, 假期, （外出旅游或休闲的）度假期
trouble     n.麻烦, 问题, 困难, 困境
truck     n.【汽】卡车, 拖车, 货运车厢, 【船】旗杆帽
status     n.地位，身份，情形，状况
accept     v.接受; 承认; 同意; 认可; 采纳; 接纳; 容纳; 承兑
email     n.电子邮件（通信方式）, 用电子邮件
nineteen     num.十九
intention     n.意图，意向，目的
post     n.邮政, 桩, 岗位, 职位
coast     n.海岸, 海滨
coat     n.外套, 大衣, 外衣, （套装的）上装, 动物皮毛
doctor     n.医生, 博士, 大夫, 诊所
code     n.代码, 密码, 法典, 法规
sector     n.行业，扇形；（尤指军事管制的）区域；部门
football     n.<英>足球, 足球运动; <美>橄榄球; 屡起争议的问题
troop     n.部队，军队；一群，一队
column     n.柱, 栏目, 纵队, （通常为）圆形石柱
combination     n.结合，联合，混合；数字密码
nor     conj.也不, （用于肯定动词前，表示同意刚提及的否定命题）也不
storm     n.风暴，暴风雨；（愤怒的）迸发，爆发；大获成功，完全征服
nose     n.鼻子, 机头, 嗅觉, 有…鼻子的
foreign     adj.异物的, 异体的, 外国的, 涉外的
typical     adj.典型的, 有代表性的, 一贯的, 平常的
strange     adj.奇怪的, 奇特的, 异常的；陌生的；不熟悉的
library     n.图书馆, 文库, 图书室, 资料室
station     n.车站；位置；广播电台；岗位
underlie     v.位于…之下; 潜存于…之下; 引起, 使发生; 构成…的起因(或基础)
forth     adv.向前；以后；往外；离去；自……以后
illustrate     v.举例说明，作图解，表明，说明
dress     n.衣服, 连衣裙
primary     adj.首要的，主要的；最初的；原本的；第一手的, 直接的；初级的, 小学的；初等的
essentially     adv.基本上, 本质上, 根本上
impact     n.撞击, 冲击力, 冲撞, 巨大影响
print     v.打印, 印刷, 发表, 刊登
commit     v.犯罪, 做错(坏)事；承诺, 使承担义务, 使作出保证, 使卷入；委托, 把…托付给；调拨 (钱、资源)
unit     n.单元, 单位, 装置, 部件
search     n.搜索, 检索, 搜寻, 查找
production     n.产量；产品，成果；生产，制作
teacher     n.教师, 老师, 教员, 先生
complaint     n.抱怨；埋怨；投诉；控告；（不严重的）疾病
completely     adv.非常, 完全地, 彻底地, 很
devote     v.致力, 献身, 倾注, 用于
bag     n.手提包, 旅行袋, 塑料袋, 眼袋
fruit     n.水果, 果实, 结果, 成果
proof     n.证明, 证据, 检验, 证实
contract     n.合同，契约
block     n.块； 街区；<英>大楼，大厦；阻碍
volunteer     n.志愿者；志愿兵；义务工作者；自告奋勇者
proposal     n.提出; 建议, 提议; 计划; 提案; 求婚
dream     n.梦, 睡梦, 梦想, 理想
oil     n.石油, 原油, 燃油, 润滑油
protein     n.蛋白质
breakfast     n.早餐
publish     v.发布, 出版, 公布, 发行
honor     n.（=honour）荣誉，荣幸；尊敬；名誉；正义感；气节
surely     adv.无疑, 必定, （对自己的话很有把握，并希望他人同意）想必, 用于否定句
education     n.教育, 培养, 教育学, 训练
senior     adj.高级的，资深的；年长的
beautiful     adj.美丽的, 风和日丽的, 出色的
everyday     adj.每天的, 每日发生的, 日常的
survey     n.调查；测量，测绘，勘测
suspect     v.怀疑，不信任；猜想；怀疑……有罪
generation     n.代，一代；产生
cry     v.哭, 哭泣, 呼喊, 喊叫
mainly     adv.大多, 大部分, 主要地, 首要地
gentleman     n.绅士, 〈正式〉先生, 正人君子, 有教养的人
consist     v.组成，构成；存在于
brain     n.脑, 脑力, 智力, （供食用的）动物脑髓
convention     n.惯例，习俗，规矩；会议； 全体与会者； 国际公约
background     n.背景, 底色, 幕后, 经历
climb     v.爬, 攀登, 爬升, 登山
contemporary     adj.当代的；同时代的
content     n.内容, 含量, 容量, 目录
bank     n.银行, 岸, 库, 河畔
seven     num.七
bed     n.床, (河)床, (海等的)底, 花坛
additional     adj.附加的，另外的
severe     adj.严重的，严峻的；剧烈的；严厉的，严格的
classic     adj.经典的；优秀的；一流的；有代表性的，典型的
discover     v.发现，发觉；找到，查明，（第一个）发现，了解到
adopt     v.收养，领养；采纳，接受
client     n.客户；委托人；当事人；客户端
shall     mod. v.应该, 将会, 表示提出或征求意见
vision     n.视力；视野；想象，幻象；眼力；远见卓识；影像，画面
occasion     n.时刻，场合，机会，理由
opinion     n.意见, 看法, 想法, （群体的）观点
coverage     n.新闻报道; 保险范围; (书、节目、课程等的)内容范围; 信息范围; 覆盖; 覆盖范围(或方式)
wonder     v.感到疑惑，想弄明白，想知道；（对某事）感到惊讶，感到难以置信
engine     n.发动机, 引擎, 机车, 火车头
opposition     n.反对党, 对立, 在野党, 对抗, 反对
shoe     n.鞋
increasingly     adv.越来越多地, 不断增加地
cool     adj.凉的, 凉爽的, 凉快的, 使人感到凉爽的；酷的，出色的；冷漠的，冷淡的
independent     adj.独立的，自主的，自立的
indicate     v.显示，表明；暗示；是……的标志，象征
shot     n.开枪；射击；射门；（火箭）发射；一张照片；（电影的）一组镜头；尝试，努力；一小口，一小杯
childhood     n.童年, 幼年, 孩童时期
competitive     adj.竞争的；有竞争力的；努力竞争的，一心求胜的
trace     v.仔细找寻；追踪，找出根源；研究…的历史；探索…的发展；追寻…的轨迹；描绘，勾画轮廓
ratio     n.比；比率；[数]比例
shut     v.关闭，合上；禁止通行；（商店）停业
evaluate     v.评估，评价
sight     n.视力，视觉；眼界；景象；风景，景观
mark     n.污点; 痕迹; 记号, 符号; 标签; 标记; 分数
intelligence     n.才智, 智力; 情报; 情报机构; 智能
weekend     n.周末, 星期六和星期日, 星期六和星期日（或略长一点的）休息时间
trade     n.贸易, 交易, 行业, 商业
technology     n.技术；工艺，科技，工程技术，工艺学
retail     n.零售
silver     n.银, 银色, 银器, 银白色
telephone     n.电话, 电话机, （电话机的）受话器
welfare     n.福利，社会保障，幸福
exactly     adv.确切地, 准确地, 精确地; 恰好地; 究竟, 到底; (答语) 完全正确
instruction     n.教授; 教导, 指导; 指示, 命令; 用法说明, 操作指南; [计] 指令
examine     v.仔细检查；诊察；审查；（尤指在法庭上）审问，查问
reduce     v.减少, （使）蒸发, 减轻体重, 节食
wheel     n.轮, 车轮, 轮子, 汽车
grade     n.等级，品级；（工作岗位的）级别；成绩，分数；(美国学校中的) 年级； 阶段
treatment     n.治疗，疗法；对待，处理
excite     v.激发, 刺激, 引起, 使激动
exclude     v.不包括，排除；排斥
pain     n.痛苦, 苦恼, 烦恼, （身体上的）疼痛
executive     adj.〔公司或机构〕行政的，管理的；供主管人员使用的；高档的；豪华的
currency     n.货币，通货；流通，流转
internal     adj.国内的，内在的，身体内部的
regular     adj.规则的, 有规律的, 间隙均匀的, 定时的
injury     n.损伤, 挫伤
expectation     n.期待，期望，预期
slight     adj.少量的; 轻微的; 极不重要的, 不足道的; 纤细的; 瘦小的; 不结实的; 不牢靠的
park     n.公园, 园区, 运动场, 专用区
slip     v.溜, 下降, 滑落, 摆脱
database     n.【IT】数据库, 信息库
mention     v.提到, 写到, 说到
relief     n.宽慰，安心；免除，减轻；解围；救济
merely     adv.仅仅, 只不过
passenger     n.旅客, 乘客, 白吃饭的人, 闲散人员
extra     adj.额外的, 分外的, 外加的, 附加的
method     n.方法, 办法, 措施, 条理
gun     n.枪, 炮, 喷枪, 喷射器
regime     n.组织方法，管理体制；政权，政体
fail     v.失败, 不及格, 倒闭, 破产
recall     v.召回, 回忆起, 回想起, 记起
neither     adv.两者都不, （否定的陈述同样适用于其他人或物）也不
minor     adj.较小的；不严重的；次要的；未成年的；副修的；少数的
air     n.空气, 空中, 天空, 神态
soldier     n.军人, （尤指）士兵
confuse     v.混淆, 使迷惑, 使糊涂, 使更难于理解
deliver     v.投递; 交付; 传送; 运输; 讲; 发表; 宣布; 接生, 分娩; 实现; 履行
delivery     n.递送；交付；分娩
solution     n.解答, 解决办法; 溶解, 溶液
resident     n.居民, 定居者; 住客, 寄宿者; 寄宿生;（美国）高级专科住院医师; 无迁徙习性的动物
tie     v.绑, 束缚, 捆绑, 约束, 与……成平局
performance     n.性能, 表现, 业绩, 表演
absolutely     adv.完全地, 绝对地, 确实地, 极其
nearby     adj.附近的, 邻近的
responsibility     n.责任, 职责, 负责, 义务
cell     n.细胞, 电池, 牢房, 基层组织
cent     n.分（辅币单位，相当于许多国家主币面值的 1%，如美元或欧元的 1%）
fashion     n.时兴, 时装业, （衣服、发式等的）流行款式
destroy     v.破坏, 摧毁, 毁灭, 消灭
laugh     v.笑, 发笑, （尤因成功而）处于有利地位
moral     adj.道德（上）的，有道德的
phenomenon     n.现象, 杰出的人, 非凡的人（或事物）
expansion     n.扩大；扩充；发展；膨胀
concert     n.音乐会；演奏会
sorry     adj.难过, 惋惜, 同情, 歉疚
feature     n.特征, 特点, 特色, 故事片, 专栏, 特写
regional     adj.地区的, 区域的, 地方的
atmosphere     n.大气；空气；气氛；格调
chapter     n.篇章，回；主教座堂全体教士；宗教团体的全体成员；（人生或历史的）时期，时代
tax     n.税, 税款
chart     n.图表, 海图, 表格, 卡片
cheap     adj.花钱少的, 便宜的, 廉价的, 收费低廉的
analyze     v.〈美〉同“analyse”，分析，剖析
check     v.检查, 查看, 检验, 核查; 制止, 抑制; 在…上打勾
urban     adj.城市的, 都市的, 城镇的, 都市音乐的
topic     n.话题, 题目, 标题
restore     v.（使）恢复；修复，翻新；归还
multiple     adj.许多，多种多样的
acknowledge     v.承认；致意；公开感谢
museum     n.博物馆
bet     v.下赌注（于）, 用…打赌, 敢说, 八成儿
risk     n.风险, 危险, 危险人物, 会带来风险的事物
entirely     adv.完全地, 全部地, 完整地
direction     n.方向; 方位; 指导; 管理; 指示, 命令; 用法, 说明; 趋势, 倾向
typically     adv.往往, 典型地, 常常, 有代表性地
military     adj.军事的，军队的，武装的
finance     n.资金；财政；金融；财务；财力
comfortable     adj.使人舒服的, 舒适的, 愉快放松的, 安逸的
land     n.土地, 陆地, 大地, 地产
player     n.玩家, 运动员, 播放机, 演员
episode     n.事件；经历；（电视连续剧的）集；（连载小说的）节
phase     n.阶段, 时期; 相; 位相
naturally     adv.自然地, 自然而然地, 理所当然地, 顺理成章地
herself     pron.她自己, 强调句中的女性主语或宾语
discuss     v.讨论, 谈论, 商量, 详述
discussion     n.讨论, 论述, 商讨, 详述
circumstance     n.（复数）情况，环境，境况；（单数）命运
hill     n.小山, 斜坡, 土墩；[复数]丘陵
latter     n.（刚提及的两者中）后者, （系列中）最后一位
symptom     n.症状；征候；征兆
launch     v.开始从事，发起，发动（尤指有组织的活动）；（首次）上市，发行；使（船，尤指新船）下水；发射；把（航天器、武器等）发射上天；水中发射
series     n.串联, 一系列, 连续, 接连
democracy     n.民主, 民主国家, 民主政体, 民主制度
session     n.（议会的）会议；（法庭的）开庭； 会期，学期； （进行某活动连续的）一段时间
clean     adj.洁净的，干净的；爱干净的，爱整洁的
trend     n.趋势, 动向, 趋向, 动态；风尚, 潮流
nervous     adj.焦虑的, 担忧的, 惶恐的, 神经质的
layer     n.层, 层次, 表层, 阶层
struggle     v.努力，奋斗；挣扎；搏斗；争夺
flow     n.流, 流动, 流量, 流畅
ability     n.能力, 能够, 才能, 能干
positive     adj.积极的, 乐观的, 正面的; 赞同的, 肯定的; 确信的; 绝对的; 正数的; 正极的; 阳性的
frame     n.帧, 支架, 骨架, 画面；框架；结构
deeply     adv.非常, 很, 极其, 强烈地
defense     n.〈美〉防御;保卫;保护 (同“defence”)
pour     v.倒, 倾倒, 倾泻, 使（液体）连续流出
addition     n.增加，附加物，加，加法
practical     adj.实际的，实用的
admit     v.承认，供认；允许
safety     n.安全, 安全性, 平安, 无危险
hundred     adj.很多
combine     v.（使）结合，联合
prefer     v.更喜欢；偏好
draft     n.草案, 汇票, 草稿, 草图；风
death     n.死亡, 死神, 毁灭, 生命的终止
prepare     v.调制, 使做好准备, 把…预备好, 使（自己）有准备；装备；起草
beach     n.海滩, 海滨
ahead     adv.提前, 前面, 领先, 未来
focus     v.集中（注意力、精力等于）, （使）调节焦距, 集中（光束于）
formal     adj.适合正式场合的，庄重的；正式的；合乎规矩的
newspaper     n.报纸, 旧报纸
strike     vt.击, 打; 击中; 撞击; (疾病等)侵袭; 进攻; 使突然想起; 给…以印象; 使受吸引; (光)照到…上; 擦(火柴); 偶然发现; 达成; 达到; (钟等)敲响报时; 罢工; 摆出…姿态; 删除, 划掉; 铸造; 开采出
scheme     n.计划，方案；体系；体制；阴谋
sexual     adj.性行为的, 性的, 生殖的, 有性繁殖的
structure     n.结构, 构造, 体系, 结构体
principle     n.原则，原理，基本的观念；道德原则，基本的观念行为准则
scientist     n.科学家, 科学工作者
prison     n.监狱, 监禁, 牢狱, 牢笼
driver     n.驱动程序, 司机, 驾驶员, 驾车者
committee     n.委员会
drug     n.药物, 毒品
listen     v.倾听, 听从, （注意地）听, 听信
unknown     n.未知数, 未知的地方（或事物）, 无名者, 不出名的人
seat     n.座位, 臀部, 有…座位的, 有…座的
unlikely     adj.不大可能发生的, 非心目中的, 非想象的, 难以相信的
progress     n.进步，发展；前进
argue     v.争论, 争辩, 争吵, 论证；提出理由,认为
argument     n.争论, 论点, 观点, 争吵
fully     adv.充分地, 完全地, 足足, 全部地
odd     adj.剩余的; 额外的; 古怪的; 奇数的; …以上的, 挂零的; 单只的, 零散的; 临时的; 少量的; 偏僻的
promote     v.促进，提升；升迁；促销
article     n.文章，论文, 物件, （协议、契约的）条款，冠词
property     n.资产, 财产; 房地产; 所有权; 特性; 性质; 性能
upper     adj.上边的, 上部的, 靠上部的, 内陆的
function     n.作用，功能；职能；社交聚会；宴会；函数
prospect     n.预期, 展望; 景象; (成功、得益等的)可能性, 机会; 前景, 前途
funny     adj.滑稽的, 好笑的, 奇怪的, 难以解释的
conclusion     n.结论
construct     v.构造，建造；构想
attract     v.吸引, 招引, 使喜爱, 引起…的好感（或爱慕）
furthermore     adv.此外, 而且, 再者
highlight     v.突出, 强调, 将（文本的某部分）用彩笔做标记
encounter     v.偶然碰到; 相遇; 遇到, 遭到, 受到; 与…发生冲突; 与…交战
confidence     n.信心； 信任； 秘密
supply     n.（尤指大量的）补给，供给，供应，贮备
bone     n.骨，骨头；骨质物；骨骼，身体；基本结构；核心，本质
edition     n.版次, 版本（出版形式）, （报纸、杂志的）一份, 一辑
border     n.边界, 边疆, 国界, 镶边
element     n.成分，要素；元素
elderly     adj.年纪较大的
academic     adj.学术的; 普通文化课的; 教学的, 教务的; 学校的; 学院的; 大学的; 纯理论的
battle     n.战斗，战役；争论；斗争
bother     v.打扰, 花费时间精力（做某事）, 使（某人）烦恼（或担忧、不安）
bottle     n.(细颈)瓶子, 一瓶(的量), (婴儿)奶瓶, (the bottle)酒〔用于谈论喝酒引起的问题〕
incorporate     v.包含，把…包括在内；（使）合并，并入，吸纳；注册成立
accord     n.协议；条约
election     n.选举；当选
unemployment     n.失业；无业；失业人数
ball     n.球, 球状物; 踢出(或击出、投出)的一球; 舞会
electronic     adj.电子的；使用电子装置的
accuse     v.责备，控告
beat     v.打败，战胜；打，击打；拍打，敲打；（心脏）跳动
judgment     n.判断, 审判, 判决, 判断力, 意见, 评价
below     adv.在（或到）下面, 零度以下
producer     n.生产商，制造商；制片人；（电视、唱片等的）制作人
fifteen     n.十五人制橄榄球队, 联合会橄榄球队
video     n.视频, 录影, 录像带, 盒式录像带
contrast     n.对比, 对照; 差异; 对照物, 对立面
