ant     n.蚂蚁
spatial     adj.空间的
pollute     v.污染, 弄脏
closure     n.关闭, 倒闭, （路或桥的）暂时封闭
corps     n.兵团, （陆军）特种部队, （从事某工作或活动的）一群人
dye     n.染料, 染液
contaminate     v.污染, 弄脏, 玷污
oversee     v.监督, 监视
soluble     adj.可溶的, 可解决的, 可解的
tuck     v.收藏, 把（衣服、纸张等的边缘）塞进, 把…塞进狭窄的空间, 把…藏入
commerce     n.商业, （尤指国际间的）贸易, 商务
finite     adj.有限的；有限制的
obscure     adj.无名的，鲜为人知的；难以理解的
dependence     n.依赖, 瘾, 相关（性）, 相依（性）
regression     n.回归, 退化, 倒退
deteriorate     v.恶化，（使）变坏，退化
theology     n.神学, 宗教学, 宗教信仰学
sting     v.刺；蜇；叮；（使）感觉刺痛
noisy     adj.吵闹的, 聒噪的, 嘈杂的, 充满噪音的
selective     adj.选择性的, 有选择的, 认真挑选的, 严格筛选的
fluctuate     v.波动；起伏不定
doorway     n.门口, 门道, 出入口
blur     n.（移动的）模糊形状, 模糊的记忆
follower     n.拥护者；信徒；爱好者；仿效者
dolphin     n.【动】海豚, 大型长鼻海洋生物, 【天】海豚星座
orientation     n.方向，目标；个人基本信仰，态度；入职培训
swift     adj.飞快的, 迅速的, 敏捷的
texture     n.质地, 口感, 手感, （音乐或文学的）谐和统一感
differentiation     n.区别, 区分, 【生】分化
industrialization     n.工业化
enjoyment     n.享受, 快乐, 乐趣, 愉快
fin     n.鳍, 肋片, 【航海】(潜水艇的)鳍板, 【火箭】舵
algorithm     n.算法, 计算程序
erupt     v.（火山）爆发,；（岩浆、烟等）喷出； 突然发生；爆发；突然发出（叫喊）
ancestor     n.祖宗，祖先
sub     n.替补队员, （向俱乐部等定期交纳的）会员费, 助理编辑, 审校人
likewise     adv.同样地，类似地；也，还，亦
maternal     adj.母亲的, 母亲般慈爱的, 作为母亲的, 母系的
remainder     n.其他人员；剩余物；剩余时间；差数；余数
bead     n.珠子；（液体）小滴、小珠
maximize     v.使增加到最大限度, 充分利用, 最大限度地利用
uplift     n.抬升, 提高, 上升, 抬高
weave     v.编织，组合，编排
apparatus     n.装置，器具，机构，组织
adaptation     n.适应, 改编本, 改写本
node     n.节点, 结点, 茎节, （根或枝上的）节
laborer     n.劳动者, 工人
frontier     n.边境, 边界; 边疆; 边缘; 知识前沿; 新领域
liver     n.肝, （动物供食用的）肝； 以某种方式生活的人
colorful     adj.色彩鲜艳的, 多彩的, 有趣的, 令人兴奋的
bleed     v.流血, 失血, 给（某人）放血, 长期榨取（某人的钱）
bloom     v.开花；繁荣，兴盛
vowel     n.元音, 元音字母
behavioral     adj.关于行为的
prosperity     n.繁荣, 兴旺, 昌盛
bureaucracy     n.官僚制度；官僚作风
unwilling     adj.不愿意, 不情愿, 勉强的, 无奈的
protective     adj.保护的，防卫的
hepatitis     n.肝炎
plague     n.瘟疫；灾祸
generic     adj.一般的, 普通的, 通用的, 无厂家商标的
tablet     n.片剂, 药片；碑, 匾；便签簿；平板电脑
variant     n.变体, 变种, 变形
architectural     adj.建筑学的, 建筑方面的
conjunction     n.连词, 同时发生, 与…一起 (做、用)
slab     n.（石、木等坚硬物质的）厚板, 厚片, 厚块
positively     adv.绝对地，肯定地，明确地；积极地，乐观地；赞成地；带正电地
pulse     n.脉冲, 脉搏, 脉率, 强劲的音乐节拍
thorough     adj.彻底的，完全的；仔细的；缜密的
wilderness     n.荒野, (草木丛生的)荒地, 荒芜的地方, 杂草丛生处
fungus     n.真菌；菌类
elementary     adj.基本的，初级的
rigid     adj.严格死板的, 僵硬的, 固执的, 僵化的
container     n.容器；集装箱
elimination     n.消除，根除；淘汰；消灭，铲除；排泄；【数】消去；【化】消除
nationalism     n.民族主义, 国家主义, 民族自豪感, 民族优越感
corpus     n.文集，文献；汇编；语料库
sword     n.剑, 刀
synthetic     adj.(物质)合成的; 人造的; 综合的
hemisphere     n.（尤指地球的）半球；大脑半球
circulation     n.血液循环; 流通, 环流; (货币、资料等)流通, 流传; (书报等)发行, 发行量
marble     n.大理石, （玻璃）弹子, 弹子游戏, 理智
shallow     adj.浅的，不深的；肤浅的
subset     n.子集, 分组, 小组
imperative     n.重要紧急的事, 必要的事；命令, 规则；祈使语气, 祈使语气动词
derivative     n.衍生物, 派生词, 衍生字, 派生物
alien     n.外侨，外国人；外星人
quiz     n.小测验, 知识竞赛, 智力游戏
nutrient     n.营养素, 营养物
shield     n.屏障; 保护物; 保护者; 盾
adjacent     adj.毗连的，邻近的
semantic     adj.语义的
abdominal     adj.腹部的
creator     n.创造者, 造物主, 上帝, 创作者
paradox     n.悖论, 矛盾的人(或事物、情况)
illuminate     v.照明，照射；阐释，说明；用彩灯装饰；使精神焕发
entrant     n.新生, 新职员, 新会员, 新成员
compatible     adj.可共用的；兼容的；可共存的；关系好的，和睦相处的
warmth     n.温暖, 热情, 暖和, 友情
substitution     n.置换, 【化】取代, 【数】代换, 代入
inexpensive     adj.不昂贵的
accomplishment     n.成就, 完成, 成绩, 技艺
fragile     adj.易碎的; 脆的; 易损的; 虚弱的; 脆弱的; 纤巧的, 精细的
phosphate     n.磷酸盐, 磷酸酯
epic     n.史诗, 叙事诗, 史诗般的电影（或书）, 壮举
tricky     adj.难办的, 难对付的, 狡猾的, 诡计多端的
relay     v.转送，转发；播放，转播
trillion     num.兆, 万亿, 无数, 大量
crumble     v.崩溃, 崩裂, 瓦解, 成碎屑
silk     n.丝绸, （蚕）丝, 丝织物, （用于缝纫的）丝线
variability     n.可变性, 易变性, 反复不定
residual     adj.剩余的；残留的
mold     n.模具, 霉, 霉菌, 铸模
telescope     n.望远镜
cyclic     adj.循环的, 周期的
stabilize     v.（使）稳定
inference     n.推理，推断，推论；推断的结论
jungle     n.（热带）丛林，密林；尔虞我诈的环境，危险地带；堆满东西（杂乱无章）的地方
critically     adv.极其, 严重地, 批判性地, 慎重地
refine     v.精炼，提炼；改善
refuge     n.避难所, 庇护, 慰藉, 庇护者
circa     prep.〔拉丁语〕大约
instability     n.不安定，不稳定；（精神的）变化无常
textile     n.织物；纺织品；纺织业
chronic     adj.长期的, 慢性的, 难以治愈（或根除）的, 长期患病的
biodiversity     n.生物多样性（大量各种生物的共存以维持生态环境平衡）
cereal     n.谷类食物；谷物；麦片
decisive     adj.决定性的，关键的；坚决的，果断的
poorly     adv.不足, 糟糕地, 不如意
gel     n.胶滞体（尤指用于头发或护肤的产品）
sensation     n.感觉，知觉；感觉能力；知觉能力；轰动，哗然，引起轰动的人或事
taxpayer     n.纳税人
wax     n.蜡, 石蜡, 耳垢, 蜂蜡
decoration     n.装潢, 装饰品, 勋章, 奖章
degrade     v.贬低，侮辱；（使）降级；降解；退化
orient     v.(使)朝向; 给…定向; 以…为方向; 以…为目的, 重视; 使熟悉; 使适应
jar     n.缸, 坛子, （玻璃）罐子, 广口瓶
patience     n.耐心, 忍耐, 耐性, 单人纸牌游戏
invoke     v.调用, 激活, 援引, 提及
irrelevant     adj.无关紧要的, 不相关的
displacement     n.移位；替代，取代；迫使迁居；排水量
soak     v.浸泡, 浸湿, 浸透, 湿透
hammer     n.锤子, 链球, 榔头, （拍卖用的）木槌
carrot     n.【植】胡萝卜, 〈非正式〉好处, 回报
planner     n.规划者, 设计者, 城市规划者, 记事簿
onwards     adv.向前, 从（某时）起一直, 前往
wool     n.羊毛; 羊毛织物; 毛线; 毛衣, 毛料衣服
inhibition     n.抑制, 禁止, 拘谨, 拘束感
peculiar     adj.奇怪的，古怪的；特殊的，独特的，独有的
justification     n.正当理由
penetrate     v.穿透，渗透
harmony     n.融洽, 和睦; 和声; 和谐, 协调
cellular     adj.细胞的, 由细胞组成的, （无线电话）蜂窝状的, 网状的
hormone     n.激素, 荷尔蒙
wildlife     n.野生动物, 野生生物
disregard     v.忽视，不顾，不理会
marker     n.标记, 特征, 标识, 记号笔
lengthy     adj.很长的, 漫长的, 冗长的
predominantly     adv.主要地, 占主导地位地, 压倒性地
desirable     adj.向往的, 可取的, 值得拥有的, 值得做的；性感的
hatch     v.孵出，孵蛋；策划（尤指秘密计划）
epidemiology     n.流行病学
credibility     n.可信性, 可靠性
slash     v.劈, 大幅度削减, 大大降低, 割破
unaware     adj.不知道, 没意识到, 未察觉
photographic     adj.摄影的, 摄制的, 照片的
adverse     adj.不利的, 有害的, 反面的
antibiotic     n.抗菌素
hawk     n.鹰, 隼, 鹰派分子, 主战分子
tolerate     v.容忍, 忍受, 容许, 包容
mammal     n.哺乳动物
excessive     adj.过多的，过分的
marginal     adj.小的；微不足道的；不重要的；非主体的；边缘的；写在页间空白处的
specimen     n.样本，标本，样品；（化验的）血样、尿样等
anytime     adv.总是，在任何时候
swap     v.换, 掉换, 交换, 替换
diffusion     n.传播, 散布, 【物】扩散, 冗长
whereby     conj.（= by which）借以, 凭此, 由于
spill     v.（液体）泼出，溢出；（东西）洒落；蜂拥而出
pipeline     n.渠道, (地下)管道, 传递途径, 酝酿中
chew     v.咀嚼, 嚼碎, （因为紧张等）咬住, （为尝味道）不停地咀嚼
splice     v.捻接（两段绳子）； 胶接；结婚
hello     int.你好, 您好; 喂
mysterious     adj.神秘的，不可思议的
spoon     n.勺, 匙, 调羹
dirt     n.污垢, 泥, 〈非正式〉丑闻
lag     v.落后；赶不上
herd     n.兽群；牧群；人群
sibling     n.兄, 弟, 姐, 妹
spur     n.刺激, 激励, 鞭策; 踢马刺, 靴刺; 骨刺; 山嘴, 尖坡
capitalism     n.资本主义
parenthesis     n.插入语，括号
census     n.人口普查, 人口调查, （官方的）统计
autonomy     n.自治, 自主, 自主权, 自治权
plural     n.复数形式
monopoly     n.垄断；专营服务；独占
realism     n.现实主义, 现实性, 逼真, 务实作风
morality     n.道德；道德准则；道德体系
expedition     n.探险；考察；考察队
imperial     adj.帝国的, 皇帝的, （度量衡）英制的
luckily     adv.幸亏, 侥幸, 运气不错
formally     adv.形式上, 正式地, 遵照一定格式地
conditional     adj.附带条件的, 依…而定的
conserve     v.节省, 保护, 节约, 保存
starve     v.饿死, 缺乏…的, 急需…的
lazy     adj.不愿工作的, 懒散的, 懒惰的, 无精打采的
ruler     n.统治者, 尺子, 直尺, 【计】标尺
exotic     adj.来自异国（尤指热带国家）的, 奇异的, 异国情调的, 异国风味的
explosive     adj.易爆炸的, 可能引起爆炸的；爆炸性的；暴躁的；突增的；猛增的
thesis     n.论文，学位论文；命题，论题
nitrogen     n.氮, 氮气
continuously     adv.连续地
daytime     n.白天, 日间, 白昼
scroll     n.卷轴, （石刻或木雕的）涡卷形装饰
turkey     n.火鸡, 火鸡肉, 吐绶鸡, 失败（之作），笨蛋
aspiration     n.渴望, 抱负, 志向, 发送气音
tightly     adv.紧紧地，牢牢地
simulation     n.模拟, 仿真, 假装, 冒充
communicative     adj.乐意沟通的, 语言交际能力的（尤指用外语）
oak     n.【植】栎树；橡树
flap     v.扇翅；摆动；忧虑
physiological     adj.生理学(上)的
downward     adj.下降的, 向下的
interviewer     n.采访者, 面试者
northwest     adv.向西北
tribute     n.致敬，颂词；悼念；致哀；贡品，贡金
lick     v.舔; 舔吃; 舔着喝; 掠过; 轻拍; 打败
indifference     n.漠不关心, 冷淡, 不感兴趣, 无动于衷
formulation     n.规划; 构想; 系统的阐述; 配制; 制剂; 公式化的表达; 公式化
overlap     v.（与…）交叠，部分重叠；时间交叠；有共同之处
chemotherapy     n.化疗
endeavor     v.努力；尽力；竭力
fortunate     adj.幸运的, 交好运的, 吉利的
epidemic     n.流行病; 流行, 传播; 流传, 盛行
erase     v.抹去, 清除, 消除, 消灭
imitate     v.模仿, 仿效, 模仿（某人的讲话、举止）, 作滑稽模仿
scent     n.香味, 香水, 气息, 察觉
primitive     adj.原始的，早期的；远古的；落后的；简单的，粗糙的
prince     n.王子, 亲王, 大王, 王孙
proliferation     n.增生, 〈正式〉(数量)激增, 扩散
tract     n.(连通身体组织或器官的)道, 束; 地带, 大片土地; 小册子
matrix     n.矩阵, 基体, （人或社会成长发展的）社会环境, 线路网；母体
uphold     v.支持，维护，维持
lion     n.〈文学〉名人, 【动】狮子, 勇士, 名流
nominal     adj.名义上的, 有名无实的, 很小的, 象征性的
dissertation     n.专题论文, （尤指）学位论文
subtract     v.减去
accumulation     n.积累, 累积物, 〈英〉高低学位的同时获得
competent     adj.有能力的，能胜任的
bark     v.（狗）吠叫, 厉声发令, 厉声质问, 擦破（或蹭掉）…的皮
acidic     adj.【化】酸性的, 含酸的, (味道)酸的, 〈比喻〉尖酸的
arch     v.(使）拱起，（使）成拱形
administrator     n.（公司、机构的）管理人员
successive     adj.连续的；接连的；相继的
efficiently     adv.有效, 效率, 井井有条地, 干练
consonant     n.辅音, 辅音字母（如 b、c、d、f 等）
mentor     n.导师, 顾问
ash     n.灰, 灰烬, 梣, 废墟
upright     n.立柱
seldom     adv.不常；很少；难得
metabolism     n.新陈代谢
warehouse     n.仓库；货栈；货仓
athletic     adj.健壮的, 体育运动的, 田径运动的
methodology     n.（从事某一活动的）方法
utterance     n.话语, 说话, 用言语的表达, 言论
bypass     v.绕开，避开；忽视，不顾
surgeon     n.外科医生，外科医师
pi     n.圆周率, 希腊字母表的第 16 个字母
chloride     n.氯化物
portrayal     n.描述, 描写, 描绘, 展现方式
imaginative     adj.富于想象力的, 创新的
implicit     adj.含蓄的, 不直接言明的, 成为一部分的, 内含的
vanish     v.消失，不见了；绝迹
elastic     n.松紧带, 橡皮圈（或带）
generator     n.发电机, 发生器, 电力公司
handout     n.捐赠品，救济品；传单；（发给学生的）课堂讲义"
mechanic     n.技工，机修工
frog     n.青蛙, 〈侮辱〉青蛙佬, 【交】铁路辙叉, 铁道辙岔
censor     n.（书籍、电影等的）审查员，审查官
initiation     n.开始, 发起, 创始, （常指通过特别仪式的）入会
coronary     adj.冠状动脉的
lateral     adj.侧面的; 横向的; 平级的, 同级的
disturbance     n.干扰，妨碍；骚乱，动乱；失调，紊乱
yeast     n.酵母, 酵母菌
heighten     v.（使）加强，提高，增加
progression     n.进程, 前进, 连续, （进入另一阶段的）发展
vigorous     adj.充满活力的；果断的；精力充沛的；强壮的
tailor     v.专门制作, 定做；调整，迎合
millimeter     n.毫米
counselor     n.辅导员, 顾问, 律师, (儿童夏令营等中的)领队[教导员]
transparency     n.透明（度）, 透明（性）；幻灯片, 透明正片；清晰，易懂；一目了然, 显而易见
weed     n.杂草, 水草, 烟草, 烟叶
attain     v.得到, 达到（某年龄、水平、状况）
coherent     adj.条理清楚的, 连贯的, 前后一致的; 协调的; 一致的; 有黏性的; 聚合在一起的
rack     n.架子, 支架, 挂物架; 行李架; 喂草架; 痛苦, 折磨; 齿条, 齿轨; (羊、猪等带前肋的)颈脊肉
humanitarian     n.慈善家；人道主义者
constrain     v.约束, 限制, 强制, 强迫
rainfall     n.降雨量, 下雨
bronze     n.青铜；青铜色，青铜制品
radius     n.半径；半径范围；周围
theorist     n.理论家, 理论工作者
ounce     n.少量, 盎司（重量单位，1/16 磅，等于 28.35 克）, 少许
completion     n.完成，结束
molecular     adj.分子的
creep     v.悄悄地缓慢行进, 蹑手蹑脚地移动; 爬行, 匍匐; 逐渐发生, 不知不觉地出现; [植物]攀缘, 蔓生; [雾、云等]弥漫; 卑躬屈膝, 巴结奉承
settler     n.移民, 殖民者
buffer     n.缓冲器, 缓冲物, 起缓冲作用的人, 缓存区
crude     adj.粗糙的，简陋的；未加工的；粗鲁的
contend     v.声称, 主张, 认为；搏斗, 争斗；争夺；竞争；辩论, 据理力争
goat     n.【动】山羊, 〈非正式,侮辱〉老色鬼
specialty     n.专业, 特点, 特性, 专长
correlate     v.相互关联影响，相互依赖；显示相关性
debris     n.碎片, 残骸, 破片, 残渣
appetite     n.胃口, 食欲; 欲望; 爱好
gradual     adj.逐渐的, 逐步的, 渐进的, 平缓的
cushion     n.靠垫, 软垫, 坐垫, （隔离两个表面的）垫
china     n.中国(C必须大写）；瓷器，瓷制品
therapist     n.（某治疗法的）治疗专家
cargo     n.（船或飞机装载的）货物
neuron     n.神经元
palm     n.手掌, 手心, 棕榈树
