intervene     v.（为防止或改变某事件结果或过程）插入，插手，介入；干预，干涉
extract     v.（费力）取出，拔出；提取，提炼；榨取；摘录；推断出，引申出，总结出（想法）；设法得到；开方，求根
hand     n.手；支配，掌管；体力劳动者；工作达到一定水平的人，有某一方面知识（或技能）的人
spice     n.调味料，香料；调剂品；额外的趣味
shield     n.屏障，保护物，保护人；盾
responsible     adj.对（行为）负道德责任的，有责任感的；负责…的；对…有责任的，有义务的；应受责备；可信任的；引起…的
rehearsal     n.排练；练习，演习；叙述；详述，列举；(phrase: dress rehearsal) （稍后更重大事件的）预演
insurance     n.保险；保险业
radiant     adj.喜气洋洋的，容光焕发的；灿烂的，光芒四射的；辐射的，放射的
friction     n.摩擦，摩擦力；分歧，争执
intelligible     adj.可理解的，明白易懂的，清楚的
universe     n.天地万物；宇宙
status     n.情形，状态，状况；相对社会地位；相对身份；重要地位，要人身份
dilute     v.稀释, 冲淡, 变稀, 变淡; 降低(品质); 削弱(信念)
straightforward     adj.简单的，易懂的；易做的；坦诚的，率直的
sprinkle     v.撒，洒
compete     v.竞争，角逐；比赛
species     n.【生】物种，种；【幽默】同类人
idiom     n.习语，成语；（在艺术等方面所表现的）风格，特色
slap     v.（用手掌）打，掌掴
precede     v.先于，（发生、走）在…前面
instance     n.具体情况；例子，事例
trend     n.趋向，趋势，倾向
withdraw     v.撤回，取回，撤退
transform     v.转换；彻底改变，使发生巨变，使改变性质；改善
blunder     v.酿成大错；踉跄地走
stalk     v.潜近（猎物或人）；（非法）跟踪；怒冲冲地走；趾高气扬地走
retrospect     n.回顾；回想
instrument     n.乐器；工具；仪器，器械
spectator     n.（体育比赛的）观众
compromise     n.折中状态；折中（办法）；妥协
intensive     adj.（尤指商业、经济中）集中使用的；密集使用的
penguin     n.企鹅
preliminary     adj.初步的；起始的；预备的
ironically     adv.具有讽刺意味地；嘲讽地，挖苦地
squad     n.（军队的）班，小队，小组
incident     n.事件，事情
thrive     v.兴旺发达，繁荣；旺盛；茁壮成长；植物茂盛生长
dazzle     v.【喻】使眼花缭乱，目眩；使惊奇
extraordinary     adj.意想不到的；非凡的，非同寻常的；卓越的；特大（或多）的；特派的；临时的
configuration     n.配置，布局，构造
prospect     n.（成功或发财的）机会，可能性；前途，前景
underestimate     v.低估；不够重视；轻视
incentive     n.刺激，鼓励；动机，诱因
tow     v.拖，拉，拽
infant     n.婴儿；幼儿
relay     v.转送，转发；播放，转播；转达信息，转告（消息）
subtract     vt.减，减去；去掉
fair     adj.公正的；合理的，恰当的；（头发）金色的；（肤色）白皙的；晴朗的
meteorite     n.流星，陨石
refusal     n.拒绝，回绝
mirror     n.镜子；写照；反映某种情况的事物
novel     n.（长篇）小说
doubtless     adv.无疑地，肯定地
multiple     adj.许多，多种多样的
deadline     n.最终期限，截止日期
millionaire     n.百万富翁，大富翁
drastically     adv.激烈地，彻底地
reap     vt.【喻】获得，收到，得到（报答，好处）；取得（成果）；收获, 收割（庄稼）
slip     v.滑跤，滑落；（逐渐地或不知不觉地）下降，下跌；迅速穿上或脱下（衣服）；迅速放置（某物）；偷偷塞；悄悄给
circulation     n.血液循环; 流通, 环流; (货币、资料等)流通, 流传; (书报等)发行, 发行量
priest     n.神父，牧师；（非基督教教会的）神职人员
scandal     n.丑事，丑闻，丑行
transplant     v.移植；移栽；移居，迁居
territory     n.领土，版图，领地；（知识）领域，范围
mark     vt.纪念；评分； 注意； 作记号于，标记；（重要时机，阶段，发展）标志
timely     adj.及时的，适时的
breakdown     n.（关系）破裂，（沟通）失败；崩溃，故障
worthwhile     adj.值得的, 值得做的, 重要的, 有价值的
outset     n.开始，开端
galaxy     n.星系；银河系，银河
dispatch     v.派遣；发送，派送；处决
promote     v.加强（事业、企业等）；增进，促进；晋升，提升，提拔；宣传，推销（产品，组织，企业）
derive     v.从…得出，源自；从…中获得（或取得）
flask     n.细颈瓶，烧瓶，小水瓶
irreversible     adj.不能改变的
marsh     n.沼泽，湿地
contribute     v.捐（款）；捐助，捐献；贡献；有助于；促成，促使
wrinkle     n.脸上的皱纹；皱褶，皱痕
insight     n.洞察力，洞悉；领悟；深刻见解
credentials     n.资格, 资历; 资格证书; (品格的) 证明信, 推荐书
perfection     n.尽善尽美，完美无缺
supervise     v.监督；管理；指导；主管
reciprocal     adj.互惠的；相应的
perish     v.毁灭，湮灭；丧生，死亡；老化，脆裂
molten     adj.熔融的，熔化的
timid     adj.胆怯的，害羞的；犹豫不决的；瞻前顾后的
familiar     adj.熟悉的，熟识的；熟知的，通晓的；经常遇见（或经历）的；普通的，常见的
focus     v.把注意力集中于，重视；集中；（使）调节焦距
mental     adj.精神的；心理的；智力的；精神病的；通过大脑的；在脑中进行的
inject     v.注射（药物、疫苗等）；添加，增加；给…投入（资金）
stationery     n.文具; 信笺信封
forum     n.论坛；讨论会；网络论坛
pitch     n.运动场，球场；音高；水平，程度；推销用语；沥青；投球；摊点；坡度
decay     n.腐败，腐坏，腐烂
peanut     n.花生米，花生；[pl.]很少的钱
depressed     adj.（人）沮丧的，消沉的；（人）患抑郁症的
premier     adj.首要的, 最著名的, 最成功的, 第一的
frequent     adj.频繁的，时常发生的
revolve     v.（使）旋转； （天体）自转，公转；围绕；（使）循环往复；一再浮现；反复思考；以…为最重要内容，以…为中心
erosion     n.腐蚀，侵蚀
sheer     adj.纯粹的，完全的，十足的（用于强调）；垂直的，陡峭的；轻薄透明的
commitment     n.承诺；保证；献身；投入；约定，约束；义务
overwhelm     v.使感情上受不了；使不知所措；压倒；制服；使应接不暇；淹没；漫过
latitude     n.纬度；（行动，思想的）自由度
literate     adj.能读写的，识字的；有文化修养的
hostage     n.人质
spiral     adj.螺旋形的
compact     adj.小型的；袖珍的；紧凑的
depression     n.沮丧，抑郁；萧条；抑郁症；洼地，浅坑
traverse     v.横过；穿越，穿过
terrain     n.地形，地势
segment     n.部分；片段；片；弓形
lane     n.（乡间）小路，跑道；航道，航线；车道
part     n.一部分；部分，局部；成分，要素；点，部分；【非正式】（尤指界限不明的）地区，区域；配件；零件；部件；作用；份儿
scar     n.伤疤；创伤；煞风景之处
skeptical     adj.【美】不相信的，持怀疑态度的（同 sceptical）
notorious     adj.声名狼藉的；臭名昭著的
momentum     n.动力，冲力，势头；【物理】动量；冲量
hug     n.（尤指表示感情）紧抱；热烈拥抱
rash     adj.轻率的，鲁莽的
symmetry     n.对称；相似；相等
sandwich     n.三明治, 夹心面包片, 夹心蛋糕
linguist     n.语言学家
hysterical     adj.情绪异常激动的，歇斯底里般的
dilemma     n.（进退两难的）窘境，困境；【非正式】困境；难题
glow     n.（持续不变的）光（或热）；脸红
van     n.大篷车，运货车
erroneous     adj.错误的，不正确的
embarrass     v.使尴尬；使困窘；使为难
wealth     n.财富；丰富，大量
defective     adj.有缺陷的，有缺点的
dividend     n.被除数；红利；股息；回报，效益
violate     v.违反，违背；侵犯；使人不得安宁；亵渎，污损；强奸
extensive     adj.大量的，数量大的；规模大的；广泛的，全面的；广阔的
infusion     n.灌输，注入
character     n.（小说、戏剧或电影的）人物，角色；（演员扮演的）角色；个性，品质；【计算机】字符；具有某种个性的人；特性，特征，特色
tedious     adj.冗长乏味的，沉闷的
provision     n.提供，供给，给养；供应量，供给物；规定，条款
composite     n.合成物；混合物；复合材料
pope     n.（天主教）教皇，罗马主教
glance     v.一瞥；扫视
originality     n.创造性，独特性，创意，新奇
luxury     adj.奢侈的，豪华的
represent     vt.（尤指以正式身份）代表（某人）；（作为典型）代表；象征，体现；构成；相当于
conventional     adj.传统的；习惯的，常规的
threshold     n.门槛，门口；阈，界；入门，开端，开始
heir     n.继承人（在某人死后合法继承其财产或头衔）
environment     n.生态环境；自然环境；环境，条件
misfortune     n.不幸，厄运，逆境；灾难，灾祸；不幸事故
essence     n.本质，精髓，实质；要素；香精
justify     v.说明；证明正确（或合理）
yacht     n.帆船；游艇；快艇
oxygen     n.氧；氧气
guardian     n.（法律上的）监护人；守卫者，保护者
foresee     v.预见，预知
comic     adj.喜剧的；滑稽的
imaginative     adj.富有想象力的；爱想象的
dine     v.宴请；进餐
spy     v.发现；从事间谍活动；搜集情报；突然看见；暗中监视，暗中观察
evaluate     v.估…的值；定…的价；对…进行评价（或评估）
privilege     n.（个人或群体的）特权；特惠待遇；荣幸
dismay     v.使惊愕；使灰心，使失望
sentence     n.句子; 判决, 判刑, 宣判; 命题
clone     v.无性繁殖，克隆；复制
gossip     n.流言蜚语, 闲言碎语; 闲话, 闲聊; 爱说长道短的人
federation     n.联合会；联邦
quench     v.解渴，止渴；扑灭，熄灭
heighten     v.增强，变强
contest     n.争论；争辩；争执；冲突；比赛，竞赛
database     n.数据库
disgust     n.厌恶，憎恶
overlap     v.（与…）交叠，部分重叠；时间交叠；有共同之处
trench     n.沟，沟渠；战壕；海沟
hypothesis     n.[复数hypotheses] 假设, 假说; (凭空的)猜测
origin     n.来源；起点；出身；血统
conflict     n.冲突，抵触；（尤指持久的）意见不一；争论；（长期的）武装斗争，战争；武装冲突
wretch     n.不幸的人；恶棍；淘气鬼
client     n.（律师等的）当事人；委托人；客户；（社会或医疗服务的）当事人；病人；客户端
pretty     adv.【非正式】相当地；颇
counterpart     n.对应的人（或物）
tragic     adj.悲剧的，悲惨的，可悲的
throne     n.王位，帝位；王权，君权
intimate     adj.（指地方或环境）亲密融洽的，宜人放松的；私下的，个人的，隐私的
supple     adj.伸屈自如的，逢迎的，顺从的
plea     n.请求，恳求；辩护；抗辩，申诉
prose     n.散文，白话文
obtain     v.得到, 获得; 如愿以偿; 通用, 流行; 存在
optimum     adj.最优的，最佳的；优化的
seam     n.线缝; 接缝; 骨缝; 皱纹; 伤疤; 矿层; 煤层
grave     n.墓穴；坟墓
permeate     v.弥漫，遍布，散布；渗入，渗透
demonstration     n.论证，证实；示威
convenience     n.方便，便利；使生活方便舒适的设备；便利设施
canvas     n.帆布；帆布画布，（帆布）油画
expand     v.扩张；扩大；扩充；扩展；发展
recreation     n.消遣，娱乐
yell     n.号叫，叫喊
consent     n.同意，赞成，准许
temper     n.易怒的性情；易发脾气的性格；情绪，心情
simultaneous     adj.同时发生的，同步的
partition     n.隔墙，隔板；分割，分治，分裂
permissible     adj.可允许的，许可的
withhold     v.拒给, 不给; 使停止, 阻挡; 隐瞒; 克制; 抑制
devise     vt.策划；发明；想出（复杂的程序、系统或机制）；遗赠
doctrine     n.教义，主义，学说，信条
regime     n.政权；组织方法，管理制度，体制；政治制度，政体
coincidence     n.巧合，巧事；（意见、爱好等的）一致，符合
holder     n.持有者；占有者；支托物，容器
denote     v.表示，指示
convey     vt.运输，运送；表达；传达（信息或消息、思想、感想、感觉等）；传递
mash     v.把…捣成糊状
ensue     vi.接着发生，接踵而来，因…而产生
subsequent     adj.随后的，后来的；紧接的
unique     adj.独一无二的，独特的；稀罕的
obsession     n.着迷；困扰，无法摆脱的思想（或情感）
drought     n.长期干旱；旱灾
idiot     n.蠢货，笨蛋，白痴
electricity     n.电，电能；电力供应；强烈的感情，激动
defiance     n.违抗，藐视
slight     adj.少量的；轻微的；细小的；纤细的
cynical     adj.愤世嫉俗的，（对人性或动机）怀疑的
slum     n.贫民窟
reckless     adj.鲁莽的；不计后果的；无所顾忌的
span     n.持续时间；一段时间；全长，距离
settle     v.安定，安顿；（在新的环境中）渐渐感到自在，安下心来；确定，决定；解决，结束（争端、纠纷）；结算（账单）；沉降
dock     n.码头，船坞；被告席
terrify     v.使恐惧；使十分害怕；使惊吓
barely     adv.刚刚，才；仅仅，只不过，几乎不
illusion     n.幻觉，错觉；错误的观念；错误的理解
donate     v.捐赠（钱，物），赠送
ward     n.病房；病室；区，选区；受监护人
rarely     adv.不常；很少
constituent     n.组成部分, 成分; 选区居民; 选民; 委托人
electrical     adj.电的；电动的；用电的；发电的
racket     n.喧哗，吵闹；诈骗，勒索；（尤指网球、羽毛球和软式墙网球的）球拍
format     n.安排，布局，设计，样式；【计算机】（数据处理、存储或显示）格式
calorie     n.卡路里（测量食物含热量的单位）
browse     vi.浏览（文本、网页或数据），随意翻阅；随便看看；（牛、羊等）吃草
quantify     v.表示（或测量）…的数量，量化
customary     adj.习俗的，习惯的；特有的，独特的
olive     n.橄榄；橄榄树；橄榄绿
consensus     n.（意见等）一致，一致同意
reproduction     n.复制品；复制；繁殖，繁育
trivial     adj.琐碎的，无价值的，不重要的
consume     v.吃；喝；摄取（食物，饮料）；购买，消费（商品，服务）；用完，耗尽；消耗（资源）
sustainable     adj.能保持的，能持续的，能维持的；站得住脚的；【生态】可持续性的
sentiment     n.观点，看法，情绪；（过于）伤感
purity     n.纯净，纯洁，纯正
fantasy     n.想象，幻想；想象的产物
decorate     v.装饰，装修
mortgage     v.（向银行等）抵押（房产）
continual     adj.连续的；频繁（重复）的；无间断的，不断的；不停的
refrain     v.忍住，节制，克制；避免
unanimous     adj.一致的，一致同意的；意见一致的
plague     n.瘟疫；灾祸
urban     adj.城市的；与城市有关的；有城市特色的
nutrition     n.营养学；食物；营养物；养料的供给；养料的摄取
hurl     v.用力扔或掷（某物），逼迫（某人）
conduct     v.组织；执行；实施；进行；导电，传热；指挥
characterize     v.成为…的特征，是…的典型；描述…的特性，形容…的特色
closet     n.储藏室；壁橱
streamline     v.简化以提高效率，使增产节约；使成流线型
ecology     n.生态；生态学
linear     adj.直线的，线性的；长度的；连续的，顺序的
toss     v.掷，扔，抛；摇匀；甩头；掷硬币决定
shatter     v.打碎；粉碎，使终结，使破灭；破坏，毁坏（抽象物）
liability     n.法律责任，责任；起妨碍作用的人（或物），不利因素；欠债，负债；可能性
perplex     v.使困惑，使担忧，困扰
expansion     n.扩大，扩张，扩充；膨胀
disproportionate     adj.不成比例的，不相称的；太大（或太小）的
considerable     adj.相当大的; 相当多的; 重大的, 重要的; 值得注意的
patriotic     adj.爱国的
target     n.目标；指标
library     n.图书馆；藏书
tendency     n.趋势，趋向；倾向；习惯
permit     v.允许，许可；准许
magnet     n.磁体，磁铁；有强大吸引力的人或物
visa     n.（护照的）签证
endeavor     v.努力；奋斗
trigger     n.起因，诱因；扳机；触发器
herb     n.药草；香草；草本植物
emergency     n.突发事件，紧急情况；（作定语）紧急情况下出现（或使用）的
equator     n.赤道
comprehend     v.理解；领悟
superficial     adj.肤浅的；表面的；外面的；粗浅的，粗略的
upgrade     v.使升级，提升，改进；提高（飞机乘客、旅馆住客等的）待遇；优待；提高（设施、服务等的）档次；改善；使升格；使（雇员）升职
consumer     n.消费者；顾客；用户
gauge     v.（用仪器）测量；（对形势，心情等）作出判断，猜测
vain     adj.徒劳的；自负的
transit     n.运送，运输，运载；【北美】公共交通客运
tickle     v.挠痒痒，感到发痒
expanding     adj.扩大的；增加的；扩展的；展开的
describe     vt.形容，描写；画出（图形等）
slice     n.（切下的）薄片；部分；锅铲
gamble     v.赌博；【喻】冒险，投机
confusion     n.不确定；疑惑；慌张，慌乱；紊乱，无秩序；混乱；杂乱；糊涂，迷茫
committee     n.委员会
velocity     n.速度，速率；高速
temperament     n.气质，性情
diminish     v.减少，减小，缩减，降低；贬低（某人）的形象；减少（某物）的价值
overhead     adv.在头顶上，在空中，在高处
correlation     n.联系；关联；相互关系
sniff     v.嗅，闻；（哭泣或感冒时）抽鼻子；嗤之以鼻地说
involve     vt.包括，包含；牵涉，卷入；使参与（活动或形势）；使陷入（或牵扯进）
dyslexia     n.诵读困难
suspicion     n.猜疑，怀疑
console     v.安慰；慰问
worthy     adj.值得的，应得的；值得努力的；值得重视的；值得敬重的
innumerable     adj.无数的，数不清的
superiority     n.优越性；优势；优越感；神气活现的样子，盛气凌人的行为
rectangular     adj.长方形的，矩形的
semester     n.学期
converge     vi.从四面八方汇集（某地）；（在一点上）会合，互相靠拢；聚集，集中；（思想、观点等）十分相似，相同
resemblance     n.相像，相似
virtue     n.美德；优点，长处
demonstrate     v.演示；展示；显示，表露（感情）；表现（品质）；证明，证实
wallet     n.皮夹子
intake     n.吸收，吸入；（食物、空气等物质的）摄入量；吸入量
transmission     n.传输，传送；播送，播出的节目，发送的信号；传动装置
polish     v.擦亮，上光；改进，使完美，润色
submit     v.提交，呈递；顺从，屈服，投降
groove     n.沟; 槽; (车)辙; 纹(道); 常规; 习惯; (流行乐)节奏; (演奏的)最佳状态; 理想境况; 称心的东西; 快活的经历
sunny     adj.阳光灿烂的；（地方）暖和的，阳光充足的；快活的，其乐融融的
fund     n.资金，财源；基金，专款
prosecute     v.对…提起公诉，告发，检举；继续从事
blaze     vi.照耀，强烈照射；燃烧；发光
iron     n.铁, 熨斗, 铁器, 金属工具；（化学元素）铁（符号: Fe）
buzz     v.发出嗡嗡声；繁忙；（飞机）飞过，飞近
passive     adj.被动的，消极的
installment     n.分期付款; 安装, 设置; 安顿, 安置; 就任, 就职; (分期连载的)部分
integrity     n.诚实，正直；完整，完好
reflect     v.忠实反映，恰当表明；深思，反省；反射
tenant     n.租户；佃户；房客
howl     v.狂吠；嚎叫；（因疼痛、开心、愤怒）大喊，（风的）怒号，呼啸
inherit     v.继承（金钱，财产，头衔）
given     prep.考虑到；由于
breed     n.品种；类型
eclipse     v.引起日（月）食；使黯然失色；使丧失重要性
genuine     adj.真的；非伪造的；（人、感情或行为）真诚的，真心的
stereo     n.立体声音响；立体声音响系统
mistress     n.主妇; 女主人; 女名家, 女能手; 女教师; 女校长; 女主管; 情妇
reliance     n.依靠，依赖
emerge     v.出现；兴起；浮现，显露；变得显眼（或突出）
clip     v.剪辑；修剪；削减；夹住
elite     n.精英，杰出人物；上层人士，掌权人物
gloom     n.昏暗，阴暗；忧郁，沮丧
intrinsic     adj.固有的，本质的，内在的
elegant     adj.（外观或举止）优雅的；雅致的，讲究的；精美的；俊美的；简练的，简洁的
transport     n.运输，运送；交通系统，运输工具；大型机动车辆，运输船，运输机
conscientious     adj.凭良心的，与良心有关的；认真的，勤勤恳恳的
lead     vi.领路, 带路; 导致; 通向; 领导, 率领; 领先; 作为头条刊登; 领唱
optimistically     adv.乐观地，乐天地
fuel     n.燃料；燃烧剂；（为身体提供能量的）食物，养料；饮料；药剂
company     n.公司，商号；陪伴，伴随；交往；一群人；一群, 一伙；【军】连
suspicious     adj.感到怀疑的；令人怀疑的；不信任的；持怀疑态度的
whereas     conj.而，却；反之
constitute     v.为…的成分；构成；组成
row     n.（人或物的）一排，一行，一列；争吵，纠纷，严重分歧
validity     n.（法律上的）有效，合法性；（正式的）认可；符合逻辑，确凿，正当
intensify     v.（使）变强；加强，加剧
moral     adj.道德（上）的；有道德的，品行端正的
preserve     v.保护，保养；维护，保全，保存；保鲜；腌制
sensible     adj.（人）明智的；审慎的；有益的；合理的，切合实际的；朴素而实用的
snatch     v.夺，夺走；一下子拉，一把抓住；抓住机会做，抽空做
outward     adj.向外的
screw     n.螺丝（钉）
inhabitant     n.居民，住户；栖居的动物
moan     vt.呻吟， 哼叫；【非正式】抱怨；发牢骚
devotion     n.（对人、活动的）热爱；忠诚，奉献；热情；宗教礼拜
slide     v.(使)滑行, (使)滑动; (使)悄悄移动; 下滑; 滑落; 逐渐陷入; 逐渐恶化或退步
depress     v.使（经济）萧条，使不景气；使…沮丧；抑制（生物系统），压抑；降低
imperial     adj.与帝国有关的
novelty     n.新奇；新奇性；与众不同；新奇的事物；新鲜事，不同寻常的经历；小装饰
intricate     adj.错综复杂的，复杂精细的
manure     n.肥料
utmost     adj.极度的，最大的
electrician     n.电工；电气技师
volunteer     n.志愿者；志愿兵；义务工作者；自告奋勇者
collide     v.（偶然）碰撞；严重不一致，抵触
inferior     adj.下级的；（地位）下等的；（质量）次的
supplementary     adj.增补的，补充的
facilitate     v.促进；助长；使便利，使容易；帮助
sip     v.小口地喝，抿，呷
pledge     v.保证，承诺；抵押，典当
innovative     adj.（产品、观念等）革新的；创新的；（人）引进新观念的；富有创新精神的
banquet     n.宴会；盛宴
cheap     adj.便宜的；（因劣质而）廉价的
domain     n.（活动）范围；（知识）领域；领地，势力范围
substance     n.物质，材料；实质；重要性；主旨
inaccessible     adj.难接近的；难达成的；不可得的
enslave     vt.奴役；征服，制服
primarily     adv.首先，主要地
nominal     adj.名义上的，有名无实的；（价格或收费）极少的；廉价的；象征性的；名词性的
buck     n.（一）美元，（一）澳元；雄（鹿、兔等） vi. （马等）猛然弓背跃起
military     adj.军人的；军事的；武装部队的
crush     v.压碎；压坏；压扁；镇压，征服
scale     n.规模；程度；范围；等级；级别；刻度；级别；比例尺；天平，磅秤；（鱼等的）鳞
cocktail     n.鸡尾酒；（尤指不太容易融合的几种物品的）混合物
haunt     v.（尤指在脑际）萦绕；（鬼魂）出没；长期不断地缠扰（某人）
hardy     adj.能吃苦耐劳的；适应力强的；耐寒的
specialist     n.医学专家；专科医生
composition     n.组成，构成；混合，综合；构造；（尤指学生的）作文；作曲
last     adj.上一次的，最近的；上一个的；惟一的，仅存的；最差的，最低的；最后的
linguistic     adj.语言的，语言学的
transistor     n.晶体管, 晶体管收音机
hemisphere     n.（尤指地球的）半球；（脊椎动物的）大脑半球
rivalry     n.竞争，竞赛，对抗
commemorate     vt.纪念
infrastructure     n.基础，基础结构；行政机构；（建筑）基础，下面结构
preferable     adj.更可取的，更好的，更合意的
virtual     adj.虚拟的, 模拟的; 实际上的, 实质上的
occupation     n.工作；职业；占领，占用
quaint     adj.古雅的，古色古香的；离奇有趣的
