cart n.手推车, （两轮或四轮）运货马车, 手拉车
organize v.把…组织起来；使有条理，安排
appeal v.呼吁，吁请，恳请，恳求；上诉；敦促；有吸引力，有趣
academic adj.（机构，课程）偏重理论的；非技术教育的，不注重实践教育的；（与）教育和学问（有关）的；学术的；学校的；学院的；大学的
underestimate v.低估；不够重视；轻视
privilege n.（个人或群体的）特权；特惠待遇；荣幸
contemporary adj.当代的；生活在同时代（或时期）的；同时代（或时期）发生的
retreat v.撤退，后退；（尤指因受到批评或遇到困难）退缩；让步
superiority n.优越性；优势；优越感；神气活现的样子，盛气凌人的行为
confusion n.不确定；疑惑；慌张，慌乱；紊乱，无秩序；混乱；杂乱；糊涂，迷茫
represent v.（尤指以正式身份）代表（某人）；（作为典型）代表；象征，体现；构成；相当于
thrive v.兴旺发达，繁荣；旺盛；茁壮成长；植物茂盛生长
integrity n.诚实，正直；完整，完好
specify v.明确说明；具体指定；详细说明
coach n.（体育项目的）指导，教练；长途汽车，长途客车
maintain v.维持，保持（某种状态或形势）；维持（部队的）给养；维护，养护，保养；坚称，断言
capture v.俘虏；俘获，捕获；（用文字、图片）准确记录；（用武力）占有；控制；引起（注意）
enable v.使能够；使可能；授权给，批准，许可
quote v.摘引；引用，引述；复述；援用（某人）的说法；指出（某人，某事）为出处，以…为证；报价
substantial adj.大量的；相当程度的；实质的；基本上的，大体上的；很重要的；很有价值的
interrupt v.中止，中断，打断 （活动或过程）
budget n.（为某目的而拨的）款项，专款；国家预算；预算（案）
locate vt.位于；探明，找出；把…设置在，使…坐落于
resemblance n.相像，相似
pole n.极（点）；竿，杆，支杆；波兰人（Pole）
slogan n.（与政党、运动或团体有关的）标语；口号；简短醒目的广告语；难忘的广告语
scatter v.散布；分散；播撒
mighty adj.强大的；强有力的；巨大的；非凡的
lump n.肿块；（尤指不定形的）团，块；隆起；笨重的人
catalog n.目录；一系列
protest v.抗议，对…提出抗议，提出异议；反对
combat n.搏斗；打仗；战斗
disposal n.处理; 解决; 清除; 赠送; 出售; 排列; 布置；废物处理装置
freight v.货运；【喻】使充满；使担负
virtue n.美德；优点，长处
response n.（对测验、问卷等）回答，答复；（心理，生理）反应
finally adv.（几经周折后）终于；（一系列相关事物）最后；彻底地
grip v.紧握; 紧抓; 咬住; 夹牢; 吸引住; 有吸引力
deficiency n.缺乏，不足；缺陷，缺点
operator n.操作员；技工；驾驶员；手术者；电话接线员；经营者，运营商；运算符
pressure n.（经劝说或胁迫施加的）压力；压强；心理压力；影响；影响力；紧迫，催促；大气压
fluid n.流体，液体
intellectual adj.要动脑的，脑力的；智力的，才智的
dramatic adj.戏剧的，戏剧表演的；戏剧学的；突然的；显著的；突出的；令人激动的，给人深刻印象的
invade v.（军队）入侵，侵略，侵占；侵犯，侵害；大量涌入
forth adv.【主古】向外；向前，向前方；露出；（and so forth) 等等
discourage v.使灰心，使泄气；劝阻，阻止
application n.申请；应用；勤奋；【计算机】应用程序；应用软件
layout n.布局，安排，设计
measurement n.测量，度量；（某物的）尺寸，长度，数量
status n.情形，状态，状况；相对社会地位；相对身份；重要地位，要人身份
accuse v.指控，责备，控告
hazard n.危险，风险
circulate v.（使）流通；循环，环流
rescue v.营救，救援，挽救
conscious adj.（意见，想法）自觉的；了解的；意识到的，察觉的；清醒的，有知觉的
cable n.缆绳，钢索；电缆；电报；有线传输系统
distinguish v.识别；区分；感觉到差别；指出差别；使区别于他物
reflect v.忠实反映，恰当表明；深思，反省；反射
plunge v.纵身投入，一头进入；骤降，（价值）猛跌
reverse n.相对，相反；反面；背面；倒退
parade v.游行; 列队行进; 炫耀; 展示
perspective n.（观察问题的）视角；观点，看法；透视
halt v.使突然停止；突然停止
literature n.（尤指有传世艺术价值的优秀）文学作品；文献
technician n.技术员；专门技师；专家
preliminary adj.初步的；起始的；预备的
quantitative adj.（数）量的；用数量表示的；定量的；量化的
creature n.生物，动物；人
suffer v.患病，受病痛折磨；经受，使遭受；变差
procedure n.程序，步骤，手续；外科手术
objective n.目标；目的；物镜
character n.（小说、戏剧或电影的）人物，角色；（演员扮演的）角色；个性，品质；【计算机】字符；具有某种个性的人；特性，特征，特色
shade n.阴凉处，（树）荫；灯罩；阴影部分；差别；略微
scheme n.计划，规划，方案；阴谋，诡计
import n.进口；进口品；进口品销售；进口品销售收入；含意
bypass v.经过，绕过；忽视，不顾
tend v.有某种倾向；往往会；照顾，照料；护理
external adj.外面的；外部的；外表的；表面的；外来的；外界的
desire n.渴望；欲望；愿望
vertical adj.垂直的；竖的
polish v.擦亮，上光；改进，使完美，润色
encounter v.偶然碰到；遭遇，遇到（困难或敌对的事）；面临
estimate n.估计；估算；估价
admit v.承认；允许…进入；允许（某人，国家等）加入组织
reside v.居住在；定居于；位（于）；（性质等）存在，在于
thirsty adj.渴的，口干的；渴望的
association n.联合; 结合; 关联; 交往; 联想; 协会; 社团; [化]缔合
guilt n.内疚；不安；犯罪，罪行
qualify vt.使胜任；使有资格；（使）有资格被划为；承认（或确定）（某人）有执业资格；获得学历；使有权；修饰，限定
recognize v.承认；确认；认可；识别，辨别；（计算机等）自动识别（声音、印刷字体等）
remark n.评论，谈论；话语
bachelor n.单身汉; 学士(仅用于头衔或固定表达且B大写)
attribute v.把…归因于；把…归咎于
clue n.（揭露事件、解决问题的）线索，提示
committee n.委员会
bureau n.局, 处, 科; 办事处, 办公室, 机构; 五斗橱, 衣柜; (附抽屉及活动写字台的)书桌
substitute v.用…代替，代以
relieve v.缓解，减轻，解除；使放心，使宽慰，使欣慰；使解脱
relative adj.相对的; 比较的; [语法]关系的, 由关系词引导的; (级别等)相当的, 对应的
curiosity n.好奇（心）；求知欲；奇物，奇事，珍品
devote v.将（时间，精力）用于（人，活动）上；尽心竭力于…
variation n.变化；变更；差异
corresponding adj.相应的，由此引起的
circulation n.血液循环; 流通, 环流; (货币、资料等)流通, 流传; (书报等)发行, 发行量
recommend v.推荐，举荐；劝告，建议（某人）做某事
conflict n.冲突，抵触；（尤指持久的）意见不一；争论；（长期的）武装斗争，战争；武装冲突
religious adj.宗教的；（与）宗教崇拜（有关）的；（与）宗教教义（有关）的；虔诚的
specialize v.专门研究，专门从事（某项活动）；专营
vehicle n.交通工具，车辆；工具，手段，方法，载体
prescribe v.（医生）开（药）；为…开处方；规定，指定；推荐，推举
board n.膳食，伙食；委员会；理事会；董事会；长方形板；舞台
occurrence n.发生；发生频率；发生的事情；存在的事物
timely adj.及时的，适时的
signal n.信号；暗号；导火线；信号灯；动机
election n.选举，推选；参选，当选
extension n.扩大范围；（现有体系或活动范围的）延伸，延伸；延期；电话分机
liver n.（脊椎动物的）肝脏
relief n.救济；补助；（疼痛、不便之处、痛苦等）缓解，减轻；（忧虑或痛苦消除后感到的）宽慰，欣慰，放心
volunteer n.志愿者；志愿兵；义务工作者；自告奋勇者
nerve n.神经；勇敢，胆量
bang n.巨响，枪声；猛击
resignation n.辞职，引退；辞职书，辞呈；屈从，顺从；听任；勉强接受
respect n.尊敬，尊重；方面，着眼点；关系
decent adj.过得去的，合意的，舒适的，满意的；好的，出色的；合乎礼仪的，得体的
suspect v.怀疑，疑有，察觉；推测，猜想
generally adv.广泛地，普遍地；大多数情况下；通常
maximum adj.最高的，最大的；最大限度的
debt n.金钱债务，欠债；恩义
transfer v.转移；调动，改行；转让（财产，权利）；移交（责任）；转变（词义等）
substance n.物质，材料；实质；重要性；主旨
innovation n.革新，变革，改革；新方法；新观念；新产品
graduate v.从…获得学位；完成培训；（北美）从高中毕业；授予…学位（或其他学术资格）
resort v.（尤指不可取的方法、手段）向…求助；采取，诉诸；〈正式〉常去；（成群结队地）去
compose v.创作（艺术作品，尤指音乐，诗歌）；组成，构成（整体或整体的一定份额）；使镇静
extinguish v.熄灭；扑灭；消灭；毁灭
shift v.转移；更替；转嫁；换挡，变速
category n.种类，类别；【哲】范畴
interact v.交流，交往，互动；相互作用，相互影响
dictate v.口授, 口述; 使听写; 命令, 发号施令; 支配
construct v.建筑；建造；建立；构筑（某物）；组成；构成；形成（观念，理论）
vulnerable adj.（身体或情感上）易受攻击的，易受伤害的；脆弱的
combine v.结合，联合，合并；同时参与；兼有；为共同目的而联合
curse n.诅咒，天谴；祸害，祸根
stale adj.（食物）不新鲜的；走味的；变硬的；发霉的；干的；（空气）污浊的, （烟味）难闻的；（人）疲软的；失去创造力的；陈旧的，不再有趣的；不再有激情的
sight n.看得到的东西；情景，景象；视力范围；眼界；名胜，风景
saving n.（钱、时间或其他资源的）节约，节省；储蓄金，存款
sticky adj.黏性的；（天气）湿热的
marvel n.令人惊异的人（或事）；奇迹
vision n.视力，视觉；想象，构想；眼力，远见
shelter n.庇护所，避难所；遮蔽物；（动物）栖息处，收容所
active adj.积极的；活跃的；主动的；（人的头脑、想像力）敏锐的
candidate n.待选人（或物）；考生；求职申请人；选举候选人
recover v.恢复（健康，精神，体力）；找回，重获（丢失物）；赚回，取得（补偿）
lily n.百合花
positive adj.积极的，有喜人进步（或进展、改观）的；建设性的，乐观的，自信的；肯定的；阳性的；正数的；正极的
comprehend v.理解；领悟；懂
roast v.烤，炙；烘（食物，尤指肉）
politics n.政治学；政治；政治事物（活动）；政见；手腕，权谋，策略；政治信条，政治原则
radical adj.（尤指变化或行动）根本的；意义深远的，彻底的；反传统的；创新的，革新的；非正统的；过激的；激进的，激进派的
concentrate v.集中（人，事物）（于一处）；聚集；全神贯注；全力以赴；聚精会神；首要处理（某事）；注重
classic adj.典型的；一流的，经典的
sting v.刺；蜇；叮；（使）感觉刺痛
filter n.滤波器；过滤器；滤光器；滤声器
ideal adj.理想的，完美的，称心如意的，最佳的
moderate adj.中等的，普通的，一般的；平庸的；适度的；温和的
fairly adv.很，非常，颇，相当；实际上；公平地；简直（用以强调令人吃惊或极端的事）
altitude n.（物体）高度；（相对海平面或地平面的）海拔，高度
accelerate v.加速，加快
undergraduate n.大学本科生；大学肄业生
bundle n.捆，束；【非正式】一大笔钱；【计算机】软件（或硬件）包
transmit v.传送，输送，传递；传达，传递（思想，情感）；表达；发送信号；传导（声、电等）
membership n.会员资格；成员资格；全体会员，成员
presence n.出席，在场；存在；风度，风采
capacity n.能力，才能；理解能力；身份，角色，职位；生产量，生产力；容量
surgery n.外科手术；外科；诊所
depression n.沮丧，抑郁；萧条；抑郁症；洼地，浅坑
alliance n.结盟，联盟
settle v.安定，安顿；（在新的环境中）渐渐感到自在，安下心来；确定，决定；解决，结束（争端、纠纷）；结算（账单）；沉降
cereal n.可食用的谷类作物
infinite adj.大量的；极度的；无限的，无穷的；无边的；无法计量（或计算）的，无数的
suspicion n.猜疑，怀疑
intensive adj.（尤指商业、经济中）集中使用的；密集使用的
neglect v.忽视，忽略；疏忽；疏漏
delivery n.（信件、邮件等的）投递，送交；运送；分娩
entire adj.全部的，整个的
gang n.（有轻微罪行或暴力行为的）一群年轻人
marine adj.海的，海事的；海洋的；海生的；船舶的；航海的
promotion n.提拔，晋升，擢升；促销，推销，推广；推销活动，宣传活动
emission n.（尤指气体或辐射的）发出，散发，排放；排放物，散发物
appearance n.（人或物的）面貌，外表，外观；出现，出场；参演，（对公众活动的）参与
commander n.指挥官，司令员;（英国或美国）海军中校, （英国）伦敦高级警官
vague adj.模糊的，不明确的；含糊其词的
clash n.冲突；交锋；比赛；差别
consumption n.吃；喝；摄取；消费；消耗量；消费量；（资源）耗尽；消耗；观看（或收听）的节目
inevitable adj.必然发生的；不可避免的
decorate v.装饰，装修
engage v.参加，从事；卷入；订婚；〈主英〉雇用，聘请；吸引住，使感兴趣；进攻，交战
concentration n.集中；集结；浓度；专心
option n.选项；选择；选修课；选择自由，选择能力，选择权
client n.（律师等的）当事人；委托人；客户；（社会或医疗服务的）当事人；病人；客户端
ultimate adj.最后的, 最终的; 极端的, 终极的; 根本的, 基本的; 最大的; 最高的; 合计的
illustration n.（书、报纸等的）插图；例证；说明，图解
relay v.转送，转发；播放，转播；转达信息，转告（消息）
dairy adj.乳制品的；乳品业的
residential adj.作住所用的；私人住宅的；（学生）寄宿的
elementary adj.基本的，初级的；简单的，容易的
lobby n.（尤指公共建筑入口处的）大堂，穿堂，休息室；游说团体；游说
survey n.民意调查；调查；测量，测绘；概论；全面的考察；概况
corporation n.公司；法人团体；法人
dirt n.（弄脏某人或某物的）烂泥；灰尘
payment n.支付，付款；支付的款项
implication n.暗示，含义；可能引发的后果
significant adj.有意义的；重要的，值得注意的；意味深长的；显著的
particle n.粒子，微粒，颗粒；小品词，语助词
hollow n.洞，孔；山谷
intense adj.（行动）高度集中的；强烈的，剧烈的；强劲的
overall adv.总的来说，作为整体；总计；一般来说；大致上
solar adj.太阳的；与太阳有关的；由太阳决定的；（与）太阳能（有关）的
moral adj.道德（上）的；有道德的，品行端正的
gaze v.凝视，注视
viewpoint n.观点，看法，见解
investment n.投资; 投资额; 投资物; 投资的财产; (时间、精力等的)投入
crack v.破裂，断裂；【非正式】解决；破译；解释；【喻】（使）（因折磨、压力或疲惫）发狂；（使）垮下
massive adj.大量的，大规模的；厚重的，大块的；大而重的
tide n.潮汐，潮水；【喻】潮流，趋势；浪潮
replacement n.替代，更换；复位；接替者，替代者；替代品
primary adj.首要的，主要的；最初的；原本的；第一手的, 直接的；初级的, 小学的；初等的
reproduce v.繁殖生育；再生产，再制造；复制，复写；被复制，被印制；（在不同情况下逼真地）仿造，仿制
rhythm n.（运动或声音的）韵律，节律；规律性变化
currency n.货币，通货；流通，流转
violate v.违反，违背；侵犯；使人不得安宁；亵渎，污损；强奸
transplant v.移植；移栽；移居，迁居
counsel n.劝告，忠告，建议；法律顾问；律师
proportion n.比例，比；部分；份额；面积；体积；程度；均衡；相称
vocabulary n.词汇，词汇量；词汇表
convert v.转变（形态、性质、功能）；改变；（使）改变信仰
assume v.认为; 假定, 假设; 承担(责任); 就职; 呈现
machinery n.机器，机械
comprehension n.理解（力），领悟
conclude v.下结论；总结；推断；断定
veteran n.老手；退伍军人；经验丰富的人
satisfaction n.满意；满足；妥善处理；补偿
absence n.不存在，缺乏，缺席；外出期，外出，不在
essential adj.基本的； 本质的；必不可少的；绝对必要的；非常重要的
squeeze v.（尤指用手指）用力挤压，挤；紧握；（费力地）索取，榨出；挤入，塞入；向…勒索；严格限制，削减
spur n.刺激物
prospect n.（成功或发财的）机会，可能性；前途，前景
horizon n.地平线；视野；眼界
daylight n.日光；黎明
triumph n.胜利；伟绩，伟业
visible adj.可见的，看得见的；有形的；处于显眼位置的
complex adj.难以分析的；费解的；错综复杂的
drift v.漂流；漂泊；进入（某种状态）；慢慢移动
grasp v.抓住，紧握；领会
criticism n.批评；批判；指责；评论；评价
junior adj.较年幼的；【北美】（四年制大学或中学）三年级学生的； 资历较浅的；职位（或地位）较低的
compete v.竞争，角逐；比赛
expression n.表达；陈述；（艺术作品或乐曲演奏中的）感情传达；表情；词句，措词；表达方式；措辞
acute adj.（感官，能力）高度发展的；剧烈的；尖锐的； 敏锐的；急性的；严重的
demonstrate v.演示；展示；显示，表露（感情）；表现（品质）；证明，证实
scare v.使受惊吓；使害怕；吓跑
survive v.比…活得长；幸存；（危险或苦难之后）活下来；（困境中）坚持下来
vocation n.职业，行业，职务
generate v.产生（能量，尤指电）；生成；造成，引起
publicity n.公众的注意，名声；宣传；广告；宣扬
poll n.（opinion poll的简称）民意测验，民意调查；投票数；得票
beneath prep.在下方，在…之下
inflation n.【经济】通货膨胀；膨胀；充气
progressive adj.进步的，先进的；逐步的
alternative adj.（一或多个事物）可选择的；可替代的；非主流的，非传统的
interview n.采访，访谈；面试，口试
glance n.一瞥；扫视
severe adj.（不好或可厌之物）非常的；严重的；（对人的处罚）严厉的，苛刻的；剧烈的
sample n.【统计】样本；标本，样品；试样（尤指分发给可能成为顾客的人的试用品或赠品）
manufacture v.生产，制造
bump n.（非正式，主北美） 增加；撞击，碰撞；隆起，凸块；肿块
atmosphere n.（地球或其他星球周围的）大气层；气氛，环境；艺术氛围
environmental adj.自然环境的，生态环境的；环保（性）的；与周围环境有关的；由周围环境造成的
cling vi.坚持，墨守；牢牢粘住；难以除去；黏着，缠着，紧紧握着
decline v.减弱，下降；恶化；谢绝，婉言拒绝；（尤指好的事物）变小，减少
transmission n.传输，传送；播送，播出的节目，发送的信号；传动装置
deny v.否认；拒绝把…给予
accumulate v.积聚，累加，堆积
dense adj.浓密的；【喻】（文章）复杂难懂的
harden v.（使）变硬（或变得更硬）；（使声音、面孔等）更严肃，（使）更坚定，使变得无情
glue n.胶；胶水
upward adj.向上的，上升的
creep vi.（事物）渐渐出现；缓缓发生；悄悄地缓慢行进
persistence n.坚持不懈；执意；维持，持续存在
exclusive adj.独有的；独享的；独家的；专用的；排斥性的；排他性的；奢华的；孤傲的
finance n.财源；（国家的）岁入；财务状况；（尤指政府或大公司的）财政；金融
pattern n.图案, 花样, 式样; (事情发生、发展、完成的) 模式, 方式, 形式; 模范, 典范, 榜样; [用以制作某物的]模型; (服装的) 纸样
instrumental adj.起作用的, 有帮助的; 用乐器演奏的; 使用仪器的; 工具性的
float v.在（液体，空气）中浮动，飘动
retain v.保持，保留；记住；保存；继续雇用；吸收并保留（物质）
symptom n.症状；征候；征兆
ingredient n.（菜肴的）配料，原料；成分；因素
volume n.量, 额; 体积; 容积, 容量; 音量; 卷, 册; 合订本; 大量, 许多
decade n.（以尾数为“0“的年份开始的）十年，十年期；十年时间
mill n.磨坊，碾磨机；制造厂，作坊
indoor adj.户内的，室内的；室内使用的，户内进行的
counter n.（商店，银行，餐厅的）柜台；计数器
cooperate v.合作，协力
assistant n.助手，助理，副手
slide v.(使)滑行, (使)滑动; (使)悄悄移动; 下滑; 滑落; 逐渐陷入; 逐渐恶化或退步
consume v.吃；喝；摄取（食物，饮料）；购买，消费（商品，服务）；用完，耗尽；消耗（资源）
ware n.商品；用某材料制造的物品；作…用的器皿
urge v.竭力主张，强烈要求；力劝，恳求；鼓励；鼓动
shiver n.战栗，颤抖
neutral adj.中立的，中性的
management n.（公司、组织）经营管理；管理人员；管理层
refine v.精炼，提炼；精制；改善；加工，深化（尤指理论或方法）
revenue n.（国家）岁入，税收；（尤指公司或组织数额庞大的）收入，收益
abstract adj.抽象的，理论上的；不切实际的
advocate vt.提倡，拥护； 鼓吹；为…辩护
projector n.投影仪；放映机；幻灯机
comparable adj.（人，事物）可比作…的；相似的，类似的；相当的；比得上的，可相比的
mechanics n.力学；结构；技巧；机械学；操作方法
flock n.一群；软填料；短绒
overwhelming adj.巨大的；压倒性多数的；无法抗拒的；（尤指感情）极其强烈的
expenditure n.经费；费用；开支；使用，消耗
myth n.杜撰出来的人（或事物）；神话；（普遍持有的）错误见解（或想法）；对人（或事物）的理想化看法
bond n.（将人联结在一起的）结合力，纽带；共同的感情（或兴趣）；公债，债券
satellite n.人造卫星；卫星；（作定语）卫星传送的；使用卫星技术的；与卫星技术有关的
senior adj.年长的；高级的，资深的；（级别或地位）高的，更高的；【美】大学（或中学）最后一年的
venture v.冒险；冒险旅行；敢于；猜测；以…作赌注
harsh adj.残酷的，严厉的；刺耳的，刺目的，刺鼻的；（气候，生活条件）难以生存于其中的，严酷的
spark n.火花，火星；微量，一点点
electronic adj.（装置）电子的；电子计算机（或其他电子装置）的；用电子计算机（或其他电子装置）实现的
carrier n.通讯公司；运输工具
following adj.接着的，随后的；下列的，如下的
indicate v.表明；强烈暗示；简要陈述；指出，指示；象征
awkward adj.令人尴尬的；难对付的；不方便的；笨拙的
usage n.[U] 使用，利用；利用率；惯用法
dispose v.丢掉；处理；应付，解决；使倾向于
reflection n.反映；映像，折射；深思，反省
landscape n.风景，风光；〈喻〉局势（或活动）的特征；形势；（文件的）横向打印格式
classical adj.受古希腊（或罗马）风格影响的；标准的；传统的，经典的
heap n.【非正式】大量，许多
weave v.编织，组合，编排
commit v.犯（错，罪）；干（坏事）；献身；投入；把（某事物）移交（给…保管）；转化成（某一状态）；使（人，组织）作出保证；使承担义务；约束
ally v.（使）结盟，（使）联合
triangular adj.三角形的；涉及三方的
improvement n.进步；改善，增进；进步（或改善、增进）的例证
detail n.细节；细枝末节，次要部分；详细情况；个人资料
contend v.声称；主张；辩论；争夺；竞争
split vt.(过去式&过去分词:split)劈开; 切开; 撕裂; 分担; 分得; 使分裂; 使不团结; [化]分解; [核]使产生核裂变
liable adj.有义务的，（应）负有法律责任的；可能遭受；有…倾向的
distract v.转移；分散；使分心
metallic adj.金属般的；有金属味（或声音）的；金属制的；含金属的
coverage n.媒体报道；覆盖范围（或方式）
extend v.伸出，伸开；延伸；伸展；延续；延长；占据；适用于；提供，给予；使竭尽全力；达到
vessel n.脉管，血管；船，舰；容器，器皿
agreeable adj.令人愉快的；惬意的
exchange n.交换；互换；意见／信息等交流；兑换；交换物；商品交易所
gamble v.赌博；【喻】冒险，投机
awful adj.可怕的，骇人的；难过的；极坏的，糟糕的，极讨厌的；非常的，极大的；使人敬畏的，庄严的
herd n.人群；（尤指有蹄的哺乳动物）兽群，牧群
perception n.观念，看法，印象；感知，感觉；察觉；感知能力；认识能力
forbid v.不许，禁止
expose v.暴露；揭穿（某人或某事物的）令人不快的真相；揭露；揭发；使遭受；使冒…险；使无遮蔽（或保护）
beloved adj.钟爱的，亲爱的
commercial adj.贸易的；商业的；商务的
superficial adj.肤浅的；表面的；外面的；粗浅的，粗略的
consent n.同意，赞成，准许
inferior adj.下级的；（地位）下等的；（质量）次的
steep adj.（斜面，楼梯，角度）陡的，陡峭的，陡直的；（某种程度的升降）急遽的，大起大落的；〈非正式〉（价格，需求）难以接受的；过高的
crush v.压碎；压坏；压扁；镇压，征服
universal adj.普遍的；万有的；影响全体的；通用的，共同的
lean v.倾斜，歪着；斜倚着，靠着
blend v.融入…，（与…）融为一体；使混合，使交融
principle n.原理，原则；（个人行为）准则；规范；定理
decorative adj.装饰的
nonsense n.无意义的事；荒谬的言行；荒唐
earnest adj.认真的，诚恳的
comparison n.比较，对照；比拟，比喻
receipt n.发票；收据
assumption n.（无证据的）假定；臆断；担任（职责等）
admiration n.钦佩，赞美；欣赏，倾慕
expand v.扩张；扩大；扩充；扩展；发展
fatal adj.致命的；灾难性的，毁灭性的；重大的，决定性的
component n.（尤指机械或车辆的）部件，零件；（构成整体的）组成部分，成分
snack n.（两餐之间的）点心，小吃
command n.命令，指挥；司令部
economics n.经济学；经济状况；经济因素
original adj.开始的；首先的；原版的；有独创性的
thesis n.论文，学位论文；命题，论题；论点
operational adj.操作上的，运作中的；（企业）经营的；（机器）运转的
confront v.（问题、困难等）临到（某人）头上；面对；正视；处理（问题，困难）
instinct n.本能，天性；直觉
brutal adj.野兽般的，残忍的；无情的，冷酷的；难以忍受的
convince v.说服，使…相信
crawl vi.（人）爬行；匍匐前进
network n.（计算机、机器或操作）网络；系统；（人员）网络；人际网
quantify v.表示（或测量）…的数量，量化
gravity n.严重性；地心引力，重力；庄重，严肃
expectation n.希冀，期望；指望；预计；预期；期待
calculation n.评估；估定；估计；计算
