harvest     n.收获（期）；成果，收获物，收成
drag     v.（使劲而吃力地）拖, 缓慢而费力地移动（或行进）, 生拉硬拽
twin     n.孪生儿之一, 双胞胎之一, 一对相像的事物之一
satellite     n.人造卫星；卫星；外围组织
trigger     n.起因，诱因；扳机；触发器
strict     adj.严格的（指必须恪守）, 要求严格的, 严厉的, 恪守教规（或信条等）的
drift     v.漂流；缓慢移动；漂泊
stroke     n.中风; 轻抚; 敲, 响; (事件的)一次, 一回; 笔划; 扑打; 冲程; 闪击; 划桨; 尾桨手, 领桨; 击(球)
underground     adj.地下的; 秘密的, 暗中的, 非法的; 地下组织的
structural     adj.结构（或构造）上的
fluid     n.流体, 液, 液体
privilege     n.特权，优惠；荣幸
mutual     adj.共同的，相互的
unhappy     adj.不快乐的, 不幸福的, 难过的, 悲伤的
bicycle     n.自行车, 脚踏车
anxious     adj.焦虑的, 渴望的, 担心的, 忧虑的
gear     n.排挡；齿轮；传动装置;（某种活动的）设备，用具；衣服
sophisticate     n.老于世故的人; 精于…之道的人
traveler     n.旅行者, 旅行推销员, 【机】移动式起重机
lease     n.租约，租契
versus     prep.对；与…相对；对抗
ocean     n.海洋, 大海, （四大洋之一的）洋
steam     n.蒸汽, 水蒸气, 水汽, 蒸汽动力
ex     n.前妻, 前夫, 前任
blanket     n.毯子, 毛毯, 厚层, 厚的覆盖层
blast     n.爆炸；冲击波；强风；巨响，响声；严厉批评
asleep     adj.通常作表语, 昏沉的, 长眠的, 发麻的
log     v.正式记录，记载；伐（木），砍（树）
logic     n.逻辑, 逻辑学, 思维方式, 解释方法
logical     adj.符合逻辑的，逻辑上的
decorate     v.装饰，装修
gender     n.性别（尤指社会和文化差异，而非生理差异）
silly     adj.愚蠢的, 不明事理的, 没头脑的, 傻的
seventy     num.七十
holder     n.持有者, 拥有者, 支托（或握持）…之物
homework     n.家庭作业, 功课
humor     n.幽默，诙谐，幽默感
web     n.网络, 蹼, 网状物, 错综复杂的事物
abstract     adj.抽象的，抽象派的
efficiency     n.效率；效能；功效
valid     adj.有效的；有确实根据的；正当的，合法的
accent     n.重音; 口音, 腔调; 注重点
bacteria     n.细菌
loose     adj.未固定牢的；零散的；不受约束的；宽松的；疏松的，不结实的；组织不严密的
punish     v.惩罚, 处罚, 对…判罪, 判定…的处罚方式
bowl     n.碗, 一碗…, 碗状物, 【体】木球
pregnant     adj.怀孕的；意义重大的，意味深长的
genuine     adj.真正的，真实的；诚恳的
castle     n.城堡, 堡垒, 车
verb     n.动词
swell     v.膨胀，肿胀；凸出，鼓出；增加，扩大；感情迸发
loud     adj.响亮的，洪亮的；大声的；说话太大声的；喧闹的，吵闹的；（衣服）俗艳花哨的
conventional     adj.传统的；习惯的，常规的
productivity     n.生产率；生产力；生产能力
beg     v.乞讨, 恳求, 祈求, 行乞
profound     adj.深远的，深切的；深奥的；渊博的，造诣深的；极度的，彻底的
civilian     n.平民；老百姓；庶民
shade     n. 阴凉处，（树）荫；灯罩；阴影部分；差别；略微；幽灵；色度
magic     n.魔法, 魔术, 神奇, 魔力
agricultural     adj.农学(上)的；农业的
virtue     n.美德，优点；善行
clip     v.剪辑；修剪；削减；夹住
poster     n.海报, 招贴画, 宣传画, 标语
officially     adv.正式地, 官方地, 公开地, 依据法规等
shell     n.壳，外壳；贝壳；（房屋）框架；炮弹
shelter     n.庇护所，避难所，庇护；遮蔽物
oral     adj.口头的；口服的
orange     n.橙色, 橙子, 桔子, 【植】桔树
offense     n.犯罪, 过错, 攻击, 令人讨厌的事物, 伤感情, 得分率
broadcast     n.广播节目, 电视节目
organ     n.(人体或动植物的)器官; 风琴; 口琴; 机构, 机关
airline     n.航空公司
independence     n.独立，自主，自立
indication     n.显示, 表明, 标示, 象征, 暗示
coordinate     v.（使）协调，（使）相配合；使（身体各部位）动作协调
bull     n.公牛; 胡说八道, 废话; 雄兽; 彪形大汉, 粗汉; 靶心; [术语]多头; 股市看涨的人
compensation     n.补偿物；赔偿金；使坏的情况变好的事物
equip     v.装备, 配备, 使有所准备, 使有能力
inevitable     adj.不可避免的，必然（发生）的
recipe     n.食谱；处方；秘诀
leather     n.皮革, 皮外套
rational     adj.合理的; 理性的, 理智的; 明事理的; 神智健全的; 有理数的
mortality     n.死亡率, 生命的有限, 死亡数量
creature     n.生物，动物；人
tank     n.罐, 坦克, 箱（或桶等）所装之物, 一箱（或一桶等）的量
tap     n.水龙头, 轻拍, 轻敲, 轻叩, 窃听
react     v.回应, 起反应, 起化学反应, （对…）作出反应
wealthy     adj.富有的
button     n.纽扣, 扣子, （机器的）按钮, （电脑屏幕上的）按键
democrat     n.民主党人, 民主主义者
replacement     n.替换，更换； 替代品；接替者，替代者
constraint     n.限制；限定；约束，严管
similarly     adv.同样, 类似地, 相似地, 相仿地
opera     n.歌剧, 歌剧院, 歌剧艺术, 歌剧剧本
incredible     adj.难以置信的，惊人的；极好的；极大的
weigh     v.权衡；称……重量；重量为……；具有重要性
anticipate     v.预期，预料；期待（尤指好事）；先于…之前（做）
crystal     n.水晶, 结晶体, 【化】晶体, 水晶玻璃(制品)
correlation     n.相互关系，相关，关联
excess     adj.过量的，附加的
exam     n.（笔头、口头或操作）考试, （对身体特定部位进行的）检查, 体检
underneath     prep.在……下面
resemble     v.与……相似，类似
initiate     v.开始，创始；给…启蒙；介绍加入，吸纳
technological     adj.技术[工程](上)的, 因工艺技术高度发展而引起的
situate     v.使坐落于；将……置于某背景中（理解）
ritual     n.习惯, 程序, 仪规, 礼节
painful     adj.疼痛的；痛苦的
meantime     adv.同时, 其间
thrust     v.猛推, 刺, 塞, 冲, 挤
preference     n.喜好；偏好；偏爱
cow     n.母牛, 【动】奶牛, 肉牛, 雌(象,鲸等)
qualification     n.资格，资历；学历；限定条件；获得资格；达标
weekly     adj.每周的
happiness     n.幸福, 愉快, (用语等的)适当, 〈古〉幸运
architecture     n.建筑学，建筑业；结构
exit     n.退出, 出口, 出路, 通道；离开，离去
regulate     v.（用规则条例）约束，控制；调节
widespread     adj.分布广的；普遍的；广泛的
invasion     n.武装入侵，侵略；（尤指烦恼）的涌入；侵犯，干预
segment     n.段；部分；片；弓形
pleasant     adj.令人愉快的; 舒适的, 合意的; 讨人喜欢的; 和蔼可亲的
sensitivity     n.体贴，善解人意；敏感，多愁善感；灵敏度；过敏性
reliable     adj.可靠的，可信的
reluctant     adj.不情愿的，勉强的
deliberately     adv.故意地，蓄意地；从容不迫地；小心慎重地
importantly     adv.重要的是, 自负地, 自命不凡地
thoroughly     adv.彻底地, 非常, 十分, 仔细地
smooth     adj.光滑的; 平坦的; 平稳的; 均匀的, 细腻的; 流畅的; 顺利的
deck     n.甲板, 舱面, 层面, 一副（为 52 张）
midnight     n.午夜, 子夜
interior     adj.内部的；内地的；国内的；在内的
assembly     n.会议；议会；集合，集会；装配
query     n.询问, 疑问, 问号
tourism     n.旅游业, 观光业
fade     v.褪色; 逐渐消失; 衰弱, 变得虚弱
carrier     n.搬运者; 运输工具; 运输公司; 通讯公司;  航空母舰; 带菌者; [生化]载体
defect     n.缺点，缺陷
similarity     n.相似；相似性；相似处
journal     n.杂志，期刊；日记；周报，日报，……报（报纸名）
ambitious     adj.有野心的，有雄心的；费力的；耗资的
handful     n.一把（的量）, 用手抓起的数量, 少数人（或物）, 难对付的人
diminish     v.减少，减弱，降低；贬低，贬损；轻视
rescue     v.援救，救出，营救
pencil     n.铅笔
workshop     n.研讨会，讲习班；车间；作坊
bell     n.铃（声）, 钟（声）, 钟状物, 电铃（声）
occasionally     adv.偶尔地
residence     n.居住, 住所, 住房, 定居
tide     n.潮汐, 潮流, 潮水, 趋势
resort     v.诉诸; 求助; 凭借; 前往; 常去
moderate     adj.适度的；温和的；中等的
cattle     n.牛
desert     v.抛弃，遗弃，舍弃；擅离（部队），逃走
cease     v.停止，终止
worldwide     adj.影响全世界的, 世界各地的
poem     n.诗, 韵文
destination     n.目的地，终点
restriction     n.限制, 约束, 制约因素, 限制规定
infrastructure     n.（国家或机构的）基础设施
dominant     adj.首要的，主导的，占优势的；显著的；（基因）显性的
mid     prep.〈诗〉同“amid”
retreat     v.撤退，后退，退缩；让步
champion     n.冠军；拥护者
piano     n.钢琴
happily     adv.高兴地, 快乐地, 欣然, 幸运地
alliance     n.联盟, 结盟团体
allocate     v.拨…（给）, 划…（归）, 分配…（给）
manuscript     n.手稿，原稿；手抄本
rid     v.摆脱；使去掉；除去
chase     v.追捕，追逐
specialize     v.专门从事；专门经营；专门研究；专攻
heal     v.复原, 治疗（病人）, 使又愉快起来, （使）结束
fence     n.栅栏，篱笆，围栏
extraordinary     adj.意想不到的，不平常的；非凡的；特派的；临时的
gallery     n.画廊, 美术馆, 走廊, 楼座
infant     n.婴儿；幼儿
chicken     n.〈非正式〉胆小鬼, 【动】鸡, 【食】鸡肉, 涉世未深的年轻人
bloody     adj.嗜杀的, 血腥的, 残暴的, 血淋淋的
minimize     v.使减少到最低限度；贬低，使显得不重要
merge     v.结合, 融入, 相融, 渐渐消失在某物中
ally     n.联盟；同盟国
parameter     n.参数, 范围, 决定因素, 规范
transform     v.转换，变形；改善，使改头换面
clinical     adj.临床的, 临床诊断的；冷静的；客观的；没有人情味的
stability     n.稳定（性）, 稳固（性）
plug     n.插头；塞子
transportation     n.运输；运输系统；运输工具
stamp     n.邮票, 戳, 印花, 章, 踩踏, 痕迹, 标志
click     v.单击, （使）发出咔哒声, 被突然明白, 豁然开朗
tackle     v.对付, 处理; (足球等比赛中)抢断, 铲断; 与某人交涉; 固定, 系住
strip     n.条，带；狭长地带，带状水域；队服；连环漫画
explicit     adj.清楚明白的；易于理解的；明确的；直言的
publisher     n.出版人（或机构）, 发行人（或机构）
rub     v.擦, 磨, 搓, （使）相互磨擦，打磨平滑
consensus     n.一致的意见, 共识
flexible     adj.灵活的，可变通的；易弯曲的，柔韧的
divorce     n.离婚, 分离, 脱离
ruin     v.毁灭, 破坏, 毁坏, 糟蹋
consultant     n.顾问, 高级顾问医师, 会诊医师
norm     n.规范，行为标准；常态，正常行为
railway     n.铁路, 铁道, 铁路公司, 铁道部门
curriculum     n.（学校等的）全部课程
triumph     n.巨大成功, 重大成就, 伟大胜利, 喜悦
fool     n.傻瓜, 蠢人, 弄臣, 奶油果泥
considerably     adv.大幅度地, 很大地, 相当地
blend     v.混合；融合
diversity     n.多样性, 多样化, 差异（性）, 不同（点）
adventure     n.冒险，奇遇
sake     n.目的; 理由; 缘故; 利益, 好处; 清酒(一种日本米酒)
precise     adj.精确的，准确的
domain     n.域, 区域, 范围, 领地
preliminary     adj.预备的；初步的
twist     v.扭转，弯曲；扭动身体；扭伤；曲解，歪曲
ultimate     adj.最后的, 最终的; 极端的, 终极的; 根本的, 基本的; 最大的; 最高的; 合计的
competence     n.能力; 胜任, 称职; [律]权限, 管辖权; [语]语言能力
elite     n.精英, 精华, 杰出人物
fortunately     adv.幸好, 幸运地, 还好
informal     adj.不拘礼节的, 友好随便的, 非正规的, 日常的
scatter     v.撒播; 使分散; 驱散; 消散; 分散; 零星出现(或发生); 散射
foundation     n.基础, 地基, 基金会, 建立
pure     adj.纯的, 纯净的, 纯粹的, 干净的
buyer     n.买方, （尤指贵重物品的）买主, 采购员
fragment     n.碎片；片段
excitement     n.兴奋, 激动, 刺激, 令人激动（或兴奋）的事
lifestyle     n.生活方式
bid     n.出价；投标；努力争取
stupid     adj.欠考虑的, 糊涂的, 笨的, 傻的
impressive     adj.给人深刻印象的
oblige     v.(以法律、义务等)强迫, 迫使; 帮忙, 效劳; [常用被动]使感激; 使(行为等)成为必要
lip     n.嘴唇, 嘴唇…的, （容器或凹陷地方的）边, 粗鲁无礼的话
liquid     n.液体
frequent     adj.频繁的；经常发生的
attachment     n.依恋，爱慕；附加物，附属装置；邮件的附件
format     n.总体安排，计划，设计；板式，开本；格式
correctly     adv.正确地；实事求是；恰当地；得体地
frighten     v.使惊吓, 使惊恐
pig     n.【动】猪, 小猪, 野猪；贪吃的人，令人讨厌的人；肮脏的人；〈侮辱〉笨蛋
dust     n.粉尘, 尘埃, 尘土, 粉末
sunny     adj.阳光灿烂的, 明快的, 其乐融融的
composition     n.成分，构成；组合方式；作曲；作文；小论文
blank     adj.空白的, 空的, 无图画（或标记、装饰）的, 没表情的
compromise     n.妥协, 互让了结; 和解(协议); 折中状态; 折中(办法)
artificial     adj.人造的；虚伪的
pride     n.骄傲, 自豪, 自尊, 傲慢
summary     n.总结；概括；概要
upward     adj.向上的，上升的
concrete     adj.确定的，确实的；具体的，有形的；混凝土的
uncertain     adj.无把握，犹豫的；多变的，难预料的；不确定的；信心不足的，迟疑的
aunt     n.阿姨, 姑母, 姨母, 伯母, 舅母
exclusive     adj.排斥的; 排除其它一切的; 专用的; 独有的, 独占的; 独家的; 奢华的; 排外的; 孤傲的
absorb     v.吸收；吸引……的注意，使全神贯注；经受住；承受住
bath     n.洗澡, 浴缸, 洗浴, 浴盆
partnership     n.伙伴关系, 合作, 合作关系, 合伙人身份
separately     adv.单独地, 分别地
capability     n.能力, 才能, （国家的）军事力量
consciousness     n.知觉, 感觉; 意识, 观念; 觉悟
beneath     prep.在下方，在……之下
conservation     n.保护，保存
punishment     n.惩罚，处罚
behave     v.表现；守规矩，举止得体
purely     adv.完全, 仅仅
electric     adj.电动的，用电的；通电的；令人激动的
accuracy     n.准确（性）, 精确（程度）
actively     adv.积极地, 活跃地, 主动地
terribly     adv.非常, 很, 非常地, 很厉害地
vulnerable     adj.易受攻击的；易受伤害的；（身体上或感情上）脆弱的
beam     n.光线，光束；射束；电波；横梁；眉开眼笑
cite     v.提及，举例；引用，引述；传唤；嘉奖
admission     n.准许加入, 许可；入场费, 入会费；入场券；承认, 供认
historic     adj.有历史意义的，名垂青史的
golf     n.【体】高尔夫球运动, 通信中用以代表字母G的词
operator     n.操作员；技工；驾驶员；手术者；电话接线员；经营者，运营商；运算符
myth     n.神话, 神话故事, 虚构的东西, 荒诞的说法,错误观念
prompt     adj.迅速的，立刻的；敏捷的
quit     v.离开, 停止, 戒掉, 关闭
ghost     n.鬼, 幽灵, 鬼魂, 一点
giant     adj.巨大的, 特大的, 伟大的
faithfully     adv.忠实地, 忠诚地, 如实地, 准确地
array     n.数组；阵列；一大批
voluntary     adj.自愿的，志愿的；无偿服务的
correspond     v.符合；相当；通信
grab     v.抓取; 抓住, 夺得;（自私贪婪地）抢占; 吸引……的注意力
adoption     n.收养，领养；采用，采纳
rail     n.铁轨; 扶手; 横杆; 围栏
brush     n.刷子，毛刷；画笔，笔刷；灌木丛；小冲突
radical     adj.根本的，彻底的；全新的；激进的，极端的
commodity     n.商品；有用的东西；有使用价值的事物
performer     n.演员, 表演者, 演出者, 表现得…者
guideline     n.指引，指导方针
comply     v.遵从；服从；顺从
inherit     v.继承；（从前人、前任等）接过，得到
vocabulary     n.词汇，词汇量；词汇表
reasonably     adv.相当, 合理地, 颇, 大致
mature     adj.明白事理的；成熟的；发育完全的
inner     adj.里面的, 向内的, 内部的, 接近中心的
confront     v.面对，面临；遭遇；直面，正视
margin     n.页边, 白边; 边缘; 极限; 界限; 利润; 差额; 余地, 备用的时间[金钱或空间]; 定金交易; 保证金
significance     n.意义, 含义; 重要性; 显著性
insect     n.昆虫
mall     n.购物广场, 购物商场
evil     adj.恶毒的，邪恶的，有害的；令人讨厌的
spectacular     adj.壮观的, 壮丽的, 令人惊叹的
overseas     adj.外国的；海外的
inevitably     adv.必然, 必定, 免不了
gradually     adv. 逐渐地
counsel     n.劝告，忠告，建议；法律顾问；律师
linguistic     adj.语言的, 语言学的
tactic     n.策略, 战术
intensity     n.(思想、感情、活动等的)强烈, 剧烈, 紧张; (电、热、光等的)强度, 烈度; 色饱和度
tendency     n.趋势，倾向；习惯
reflection     n.反射; 映像, 倒影; 反映; 表达, 抒发; (长相等)酷似的人; 惟妙惟肖的事物; 深思; 考虑
innovation     n.创新，革新；新观念；新方法
whilst     conj.〈英〉同“while”
grandmother     n.奶奶, 外婆, （外）祖母
grammar     n.语法学；语法书；语法规则；（某门类知识和技能的）基本原理
sketch     n.草图，略图，素描；简述，概要；小品
pump     n.泵, 抽水机, 打气筒, 船鞋
dare     n.挑战, 激将
cigarette     n.卷烟, 香烟, 纸烟
ski     n.滑雪板
deem     v.认为；视为；相信
theoretical     adj.（研究、解释）理论的，理论性的；理论上的
thereby     adv.因此; 由此; 从而
cancel     v.取消, 撤销; 废除; 抵消; 删去, 划掉
iron     n.铁, 熨斗, 铁器, 金属工具
exposure     n.暴露（于危险）；受冻；揭发；宣传；底片
wise     adj.充满智慧的, 明智的, 英明的, 明察善断的
jail     n.监狱, 监禁, 牢
jam     n.果酱, 堵塞, 拥挤, 卡住（因而发生故障）
captain     n.船长; 机长; 列车长; 首领; 陆军上尉; 海军上校
removal     n.去除, 消除, 清除, 除去
renew     v.更新, 更换, 重新开始, 中止后继续
assemble     v.聚集，集合；装配
proposition     n.（商业的）提议，建议；观点，主张；欲做的事，待处理的问题；任务
script     n.剧本, 电影剧本, 笔迹, 广播（或讲话等）稿
soap     n.肥皂, 香皂, 肥皂剧
residential     adj.适合居住的, 住宅的, 需要在某地居住的, 提供住宿的
disability     n.伤残, 残障; (生理或精神上的)缺陷; 无能力, 无力
disappointment     n.失望, 挫折, 伤心, 沮丧, 令人失望的事
peaceful     adj.和平的, 宁静的
terminal     adj.晚期的；致命的；无可挽回的；末端的，末梢的
mirror     n.镜子；写照；反映某种情况的事物
briefly     adv.简要地, 简短地, 短暂地, 暂时地
missile     n.导弹, 发射物, 投掷物
junior     adj.年少的; 年轻人的; (美国高中或大学)三年级的; 资历较浅的; 职位(或地位)较低的
depart     v.离开；动身
precious     adj.珍稀的；宝贵的；珍贵的；受珍爱的
resistance     n.反对，抵抗；阻力；免疫力；电阻
fancy     v.想象; 认为; 想要; 迷恋
comedy     n.喜剧，喜剧片；滑稽，幽默
modest     adj.谦虚的, 谦逊的; 适度的, 适中的; 朴素的; 不太大的, 不显著的, 较小的
wound     n.伤口; 损害; 创伤, 痛苦
wrap     v.（用纸、布等）包，裹；（用手、脚）围住
molecule     n.分子
tin     n.锡, 罐头, 罐头盒, 白铁桶
legitimate     adj.正当合理的, 合情合理的, 合法的, 法律认可的
adviser     n.顾问, 忠告者, 提供意见者
clause     n.子句, 从句, 分句, （法律文件的）条款
administer     v.执行, 管理（公司、组织、机构等）, 治理（国家）, 施行
span     n.一段时间；全长，距离
physician     n.医师, （尤指）内科医生
chamber     n.议会，议院；房间，室
successfully     adv.顺利地
athlete     n.运动员, 田径运动员, 擅长运动的人, 健儿
motor     n.汽车, 马达, 发动机
roughly     adv.大约, 大致, 差不多, 粗暴地
diary     n.日记, （工作日程）记事簿, 日记簿
consume     v.消耗, 耗费; 吃; 喝; 购买; 消费; 使全神贯注; 充满; （火）吞噬，烧毁
shortly     adv.立刻，马上；没好气地，不耐烦地
attraction     n.吸引，吸引力；有吸引力的人或事物
attribute     v.把…归因于; 把…归咎于; 认为…属于
ethnic     adj.民族的, 种族的, 具有民族特色的, 异国风味的
mud     n.泥, 泥浆, 淤泥
cheer     n.欢呼声, 喝彩声, （拉拉队的）加油歌, 欢乐（或幸福）的气氛
automatic     adj.自动的
emission     n.排放，散发，射出；排放物，散发物
spiritual     adj.精神的, 心灵的, 宗教的
lab     n.〈非正式〉实验室, 研究室
awful     adj.可怕的，骇人的；难过的；极坏的，糟糕的，极讨厌的；非常的，极大的；使人敬畏的，庄严的
sponsor     n.赞助者，赞助商；（法案的）发起者
filter     n.滤波器；过滤器；滤光器；滤声器
institutional     adj.机构的, 慈善机构的
bang     v.猛敲；砰然重击；猛摔；（把…）砰地关上；砰砰作响
lane     n.车道, 小巷, 甬道, 胡同
romantic     adj.浪漫的；爱情的；多情的
beneficial     adj.有益的，有利的
bat     n.蝙蝠, 球拍, 球棒, 球板
civilization     n.文明，文化
stair     n.楼梯, 梯级
neat     adj.整洁的, 整齐的, 有序的, 有条理的
combat     n.搏斗；打仗；战斗
necessity     n.必要；必然；必需品
sanction     n.制裁；处罚；正式许可；批准
classical     adj.经典的；古典的；传统的; (音乐) 古典的; (指古希腊罗马) 古典文化的
classify     v.分类，归类
constitution     n.宪法；构成，组成； 体质，体格
exploration     n.探险，踏勘，探测；研究
tremendous     adj.巨大的；惊人的；极好的
reckon     v.认为, 想, 估计, 计算
trick     n.技巧, 诡计, 诀窍, 把戏
wheat     n.小麦, 小麦籽
portrait     n.肖像, 画像; 描绘; 写照; 竖排格式
leak     v.漏水, 透露, 使泄漏, 传开
correspondence     n.来往信件；通信联系；相关，相似
bin     n.垃圾箱, （有盖）大容器
sixty     n.六十几, 六十年代
processor     n.处理器, 加工机（或工人）, 处理机
lecture     n.演讲, 训斥
coin     n.硬币；金属货币
eastern     adj.东方的, 向东的, 东部的, 东方国家的
practically     adv.几乎, 差不多, 很接近, 实事求是地
stimulate     v.刺激, 激励; 促使, 引起; 促进(身体或身体部位的)功能
motive     n.动机，目的
colony     n.殖民地；聚居（地）
elephant     n.象, 大象, <比喻>体积庞大的人或物, (美国)共和党的象征
salt     n.盐, 食盐, 盐（金属和酸组成的化学物质）, 形状（或味道）像盐的物质
extensive     adj.广阔的；广泛的，全面的；大量的
charm     n.魔力；魅力，吸引力；护身符；小饰物
stranger     n.陌生人, 外地人, 新来者
clarify     v.澄清,阐明,使...明晰
pretend     v.假装, 佯装, 自称, 模拟
uncle     n.叔父, 伯父, 伯伯, 舅父
lifetime     n.一生，终生；（事物的）存在期，使用期
oxygen     n.氧, 氧气
investigator     n.调查者, 侦查员
panic     n.惊恐，恐慌；人心惶惶的局面
nowadays     adv.现在, 现今, 目前
parish     n.教区, 堂区, （英格兰）乡村行政小区, 教区居民
scholar     n.学者；奖学金获得者
brick     n.砖, 砖块, 积木, 可靠的朋友
communist     n.共产主义者, 共产主义的支持者, 共产党党员
tournament     n.锦标赛, 联赛, （中世纪的）骑马比武
limitation     n.限制, 局限, 限度, 控制
patent     n.专利权
favorable     adj.顺利的, 良好的, 有望的, 赞成的, 偏袒的, 有利的
anxiety     n.焦虑, 忧虑, 担心, 害怕
unite     v.联合, 团结, 统一
universe     n.宇宙; 领域, 体系, 范围
frequency     n.[数]频率; 频繁; 次数; 重复发生率; [物]频率
participation     n.参与, 参加
substitute     v.用……代替，代以
productive     adj.多产的，高产的；富有成效的
occasional     adj.偶尔的, 偶然的, 临时的
occupation     n.职业；消遣，日常活动；占领，占用
substance     n.物质，实质；重要性；主旨；药物
infection     n.感染, 传染, （身体某部位的）感染, 传染病
frustration     n.(尤指因无能为力而引起的)痛苦，沮丧，恼怒；挫折，令人心烦的事（或环境）；阻挠，挫败
continuous     adj.连续的，继续的，连绵不断的
virtual     adj.虚拟的, 模拟的; 实际上的, 实质上的
sugar     n.食糖, 一匙糖, 一块方糖；（植物、水果等所含的）糖；甜言蜜语, 恭维话
duck     n.鸭子；鸭肉；【非正式】亲爱的
summarize     v.总结, 概述, 概括, 归纳
celebrity     n.名人, 名流, 著名, 名望
fur     n.舌苔, 毛皮衣服, （动物浓厚的）软毛, （动物的）毛皮
attendance     n.出席，到场；出席人数，出席率
superior     adj.(质量等方面)比…好的, 比…强的; (职位、地位、等级等)更高的; 上级的; 有优越感的; 高傲的
elegant     adj.优雅的；精美的；俊美的；简练的，简洁的
confusion     n.混乱，混淆；困惑
vacation     n.假期，休假；休息日
bare     adj.赤裸的；光秃秃的；勉强的，刚刚够的；仅有的
bend     v.（使）弯曲；歪曲；弯腰，俯身
punch     n.一拳，一击；感染力，吸引力；打孔器
consequently     adv.因此, 所以
bound     adj.必定的, 注定的; 受约束的; 有义务的; 装订的; 准备前往…的
gentle     adj.温和的；柔和的；温柔的
accurate     adj.准确的，精确的
venture     v.冒险去(某处); 小心地说, 谨慎地做; 冒险做, 勇于做
gesture     n.手势；姿态
historian     n.史学工作者, 历史学家
vertical     adj.垂直的，纵向的
vessel     n.船；容器；血管
embarrass     v.使尴尬；使困窘；使为难
prominent     adj.杰出的；显著的，突出的
vice     n.邪恶, 堕落; 缺点, 弱点; 恶习; 虎钳
adapt     v.使适应；改编
profitable     adj.有益的；有用的；能盈利的
machinery     n.机构, （统称）机器, （尤指）大型机器, 机器的运转部分
charity     n.慈善机构；仁慈，宽厚
maker     n.制造者, 上帝, 制定者, 生产者
quantity     n.量, 数量, 大量, 数额
barrel     n.桶; 一桶(的量); 枪管; 笔杆
enclose     v.围绕，包围；把……放入信封
convey     v.传达；运输
clinic     n.诊所，门诊部，科室
visual     adj.视力的, 视觉的
provoke     vt.激怒，挑衅；鼓动，激励，刺激；引起；驱使
sharply     adv.尖刻地，严厉地；急剧地；清楚地，明显地；敏锐地；时髦地
racial     adj.种族的；人种的
comprehensive     adj.综合的，全面的；有理解力的
radiation     n.辐射，放射
intervention     n.干预, 介入, 调解
confine     v.把…局限于；把…限制于；监禁，禁闭；限制，阻止；限制，使离不开（尤因生病）
cotton     n.棉, 棉布, 棉纱, 棉织物
counter     n.计算器；柜台，操作台；反对，反驳
bubble     n.泡沫, 气泡, 肥皂泡, （欲表达的）一点感情
entrance     n.入口；莅临；出场；进入许可；入 （行、会、学）许可；进入
