adapt     v.（使）适应；改编
accountant     n.会计人员；会计师
count     v.数数; 计算; 重要, 有价值; 把…计算在内; 包括; 看作, 算作, 认为
counter     n.柜台，结帐处
curious     adj.好奇的；求知欲强的
country     n.国家；乡村
countryside     n.乡下，农村地区
accompany     vt.陪伴，陪同
company     n.公司; 陪伴; 同伴
discount     n.折扣，打折
accommodation     n.住处；住宿，膳宿；和解，调解，通融；适应，调节
model     n.模型；模特儿；型号
modem     n.调制解调器
modern     adj.近代的，当代的；现代化的；时髦的，时新的
accelerate     vt.加速，促进
modest     adj.适度的，适中的，不过分的；谦虚的，谦让的
arrange     v.安排
arrangement     n.安排；排列
range     n.范围；（动植物的）生长区，分布区
rank     n.等级，级别
orange     adj.橙色的
arrest     vt.逮捕，拘捕
rest     n.休息，歇息；其余部分；其余
unrest     n.不安；骚动
arrive     vi.到达
river     n.河；江
affect     vt.影响
affection     n.感情；喜爱，爱慕
afford     vt.负担得起（……的费用）；抽得出（时间）；提供；给予
affordable     adj.负担得起的
affair     n.事务，事件
fair     adj.公平的；公正的
unfair     adj.不公正的；不公平的
aggressive     adj.好斗的，侵略性的，咄咄逼人的
attach     vt.附上，贴上
mustache     n.髭, 上唇的胡子, 长髭
attack     n.攻击，进攻
attempt     n.尝试，努力
empty     adj.空的
allocate     vt.分配
allergic     adj.过敏的
allow     vt.允许，准许
allowance     n.津贴；零用钱
swallow     n.燕子
local     adj.本地的，当地的
announce     vt.宣布，宣告，宣称；通知
announcement     n.通告, 宣告
annoy     vt.使恼怒，使生气，使烦恼；打搅，干扰，骚扰
noise     n.声音，响声；噪音
shallow     adj.浅薄的，肤浅的；浅的
annoyed     adj.生气, 烦恼, 恼怒
annoyance     n.烦恼, 恼怒, 生气, 使人烦恼的事
annoying     adj.使恼怒的, 使生气的, 使烦恼的
compass     n.罗盘，指南针
pass     vt.传；递；通过
passage     n.文章等的一节，一段；通道；走廊
passenger     n.乘客；旅客
passer-by     n.过客；过路人
pace     n.步伐，速度
space     n.空间
spaceship     n.宇宙飞船
airspace     n.上空；空域
companion     n.同伴；伴侣
pan     n.平底锅
pancake     n.薄煎饼
panic     vi.惊慌，恐慌
comprehension     n.理解
compare     v.比较, 对照; 把…比作; 比得上
spare     adj.空闲的；多余的
paragraph     n.段落
parallel     n.平行线；比拟；比较；相似处
pair     n.一双（条，副……）
repair     vt.修补
compete     vi.比赛；竞争
competition     n.竞争；竞赛
competitor     n.竞争者，对手
competitive     adj.竞争的；有竞争力的；努力竞争的，一心求胜的
competence     n.能力；资格
competent     adj.有能力的，能胜任的
incompetent     adj.无能力的, 不胜任的, 不称职的
commercial     adj.商业的，贸易的
merchant     adj.商业的；商人的
mercy     n.怜悯
merciful     adj.宽大的；慈悲的，仁慈的
comment     n.评论，意见，评价
mental     adj.精神的，心理的
mention     n.提及；记载
command     n.指挥；管辖；控制
combine     v.组合，（使）联合，（使）结合
complete     adj.全部的，完全的，完整的
correspond     vi.一致；相配；相当；（与人）通信
respond     vi.做出反应，回应，回答
pond     n.池塘
correct     adj.正确的
correction     n.改正
rectangle     n.矩形, 长方形
angle     n.角；角度；观点
corrupt     adj.腐败的；败坏的
collision     n.猛烈相撞
colleague     n.同事
league     n.同盟；联盟；社团
cooperate     v.合作，协力
cooperation     n.合作；配合
operate     v.做手术；操作，运作
operation     n.手术；军事行动；操作，实施
operator     n.操作员
opera     n.歌剧
system     n.系统
systematic     adj.系统的，体系的
symbol     n.符号；象征
sympathy     n.同情
path     n.小路，小径
symptom     n.症状
symphony     n.交响乐，交响曲
phone     vt.给……打电话
videophone     n.可视电话
congratulate     vt.祝贺
congratulation     n.祝贺
grateful     adj.感激的
conscience     n.良心，良知
science     n.科学，自然科学
scientific     adj.科学的
scientist     n.科学家
unconscious     adj.不省人事；未发觉的；无意识的
conflict     n.冲突
consequence     n.结果，后果
concern     n.关心，关注；担心，忧虑
confident     adj.有信心的，自信的
confidence     n.信心；信任，信赖
confidential     adj.机密的，秘密的
condemn     vt.判刑，处刑；谴责，声讨
conclude     v.得出结论; 断定, 推断出; (使)结束; 订立, 缔结(条约、协议)
conclusion     n.结论
close     adj.近的; 亲密的; 靠近的
include     vt.包括
concentrate     v.集中（注意力、思想等）；全神贯注
centre     n.(=[美]center) 中心, 中央, (活动、注意力等的)中心
central     adj.中央的，中心的
conduct     vt.组织，实施，进行
conductor     n.（乐队）指挥
construct     vt.建造，构建
construction     n.建造，构筑
consult     vt.查阅，查看；请教，向……咨询
consultant     n.顾问
result     n.结果
convey     vt.运载；表达或传达
convince     vt.令人信服
convincing     adj.令人信服的, 有说服力的
convinced     adj.确信, 深信, 坚信, 坚信不移的
victory     n.胜利
victor     n.胜利者, 获胜者
victim     n.受害者，罹难者，牺牲者
province     n.省份
contemporary     adj.当代的；同时代的
temporary     adj.临时的，暂时的
temperature     n.温度
temple     n.庙，寺庙
continue     v.继续，持续
continent     n.洲，大陆
contribute     v.贡献；是…的原因之一
contribution     n.贡献
confirm     vt.证实，确定
firm     n.商行；公司
firmly     adv.坚定地, 坚固地
consensus     n.一致的意见, 共识
sense     n.观念，意识；感官；感觉
sensitive     adj.敏感的
concrete     adj.具体的，有形的；混凝土制的
recycle     vt.回收
cycle     v.(使)循环, 骑自行车
bicycle     n.自行车
cyclist     n.骑自行车的人
firm     n.商行；公司
firmly     adv.坚定地, 坚固地
consensus     n.一致的意见, 共识
sense     n.观念，意识；感官；感觉
sensitive     adj.敏感的
concrete     adj.具体的，有形的；混凝土制的
recycle     vt.回收
cycle     v.(使)循环, 骑自行车
bicycle     n.自行车
cyclist     n.骑自行车的人
require     vt.需要，要求
request     n.请求，要求
question     n.问题
questionnaire     n.问卷
recommend     vt.推荐；建议
refrigerator     n.冰箱
fridge     n.冰箱（=refrigerator）
freeze     v.（使）僵住，呆住
freezing     adj.冰冻的，极冷的
recite     vt.背诵，朗诵；叙述，描述；列举，一一说出
resemble     vt.同……相像，与……类似
similar     adj.相似的，类似的
resign     vt.放弃，辞去
recognize     vt.认出，识别；认可，公认，承认；认识到（=recognise）
refresh     vt.刷新
fresh     adj.新鲜的
flesh     n.肉（指肌肉组织）；果肉；肉体
flash     n.闪光，闪烁；简明新闻，快讯
flashlight     n.摄影闪光
relay     n.接力；接替人；中转
lay     vt.产卵，下蛋；放置，摆放
play     v.玩；演奏；播放；参加（体育活动，比赛等）；扮演, 演出；装扮；尽…本分
playground     n.操场
responsibility     n.责任，职责
responsible     adj.有责任；承担义务的；应受责备；可信任的
response     n.反应，响应； 回答
sponsor     n.发起人，主办者
retire     vi.退役；退休
tire     v.（使）厌倦，（使）厌烦；（使）疲劳
tired     adj.疲劳的，累的
tiresome     adj.令人厌倦的, 令人讨厌的
tyre     n.轮胎=tire（美）
entire     adj.整个的，全部的
relate     vt.与……有关联
relation     n.关系；亲戚
relationship     n.关系
relative     n.亲戚, 亲属; [语法]关系词
latter     adj.（两者中）后者（的）
calculate     v.计算
chocolate     n.巧克力
relief     n.（病痛、忧虑、负担等的）减轻，缓解；轻松，宽慰；救济，救助
believe     v.相信，认为
belief     n.信条，信念
unbelievable     adj.难以置信的
reduce     vt.减轻；减少
reduction     n.还原, 降低, 减少, 缩小
register     vt.注册；登记
suggest     vt.建议；暗示，使想起，提示
digest     v.消化；领会
gesture     n.姿势，手势
disaster     n.灾难；祸患
master     n.主人；大师；师傅；硕士
headmaster     n.校长（mistress女校长）
disturb     vt.打扰，扰乱
disturbing     adj.烦恼的，恼人的
distribute     vt.传播，散布，发行
discrimination     n.歧视；辨别，区别
criminal     n.罪犯
distinguish     v.区别，区分
distinction     n.声誉，名声；区别，差别
divorce     vt.与……离婚
crime     n.犯罪；罪行
direction     n.方向; 方位; 指示, 命令; 用法, 说明
director     n.导演，主管，负责人，主任
directory     n.目录
regular     adj.经常的；有规律的
direct     adj.直接的
dimension     n.面积，容积，大小
measure     n.措施，方法
difficult     adj.难的，困难的
regulation     n.规则
delight     n.喜悦，快乐，高兴
delighted     adj.愉快的，高兴的，欣喜的
delightful     adj.使人快乐的, 令人愉快的, 宜人的
light     n.光；光线；灯
difficulty     n.困难
sunlight     n.日光，阳光
slight     adj.轻微的，细小的
flight     n.飞行；航班
delay     n.耽搁，拖延，推迟
lightning     n.闪电
department     n.部门（缩写Dept.）
part     n.部分；成分；角色部件；零件；部件
particular     adj.特殊的；个别的
partly     adv.部分地；在一定程度上
departure     n.离开，启程，出发
part-time     adj.兼职的
party     n.聚会；宴会；党派
apart     adv.分开，分离
apartment     n.（美）楼中单元房，一套房间
partner     n.搭档，合作伙伴
athlete     n.运动员
develop     v.开发；发展；培养，养成
development     n.发展；开发
desert     n.沙漠；荒地
delete     vt.删除
concert     n.音乐会
desperate     adj.不顾一切的，拼命的
deliver     v.投递; 交付; 传送; 运输; 讲; 发表; 宣布; 接生, 分娩;传递
delivery     n.递送；交付；分娩
dessert     n.（餐后的）甜点
liberation     n.解放
library     n.图书馆
librarian     n.图书馆员
deliberately     adv.故意地，蓄意地；从容不迫地；小心慎重地
liberty     n.自由
protect     vt.保护
architect     n.建筑师
architecture     n.建筑；建筑学
arch     n.拱；拱道，拱门
detective     n.侦探
defend     v.辩护；保卫，防卫；防守
defence     n.辩护；保卫，防卫
defense     n.辩护；保卫，防卫
fence     n.栅栏，篱笆
delicious     adj.美味的，可口的
abnormal     adj.不正常的，反常的，异常的
normal     n.正常的状态
abrupt     adj.突然的；生硬的
absent     adj.不在的，缺席的
absence     n.缺席，没参加，不在场
absolute     adj.绝对的，完全的
absolutely     adv.完全地, 绝对地, 确实地, 极其
absorb     vt.吸收
sob     vi.抽泣，啜泣
abuse     vt.虐待；辱骂；滥用
absurd     adj.荒唐的，荒诞的，怪诞的
secret     n.秘密
secretary     n.秘书
secure     adj.安全的，可靠的
security     n.安全
separate     adj.单独的，分开的，不同的
separation     n.分离，隔离
severe     adj.严重的；严厉的，严格的
forget     v.忘记；忘掉
forgetful     adj.健忘的
get     vt.变得；得到；购买；到达
target     n.目标，对象；靶子
budget     n.预算
forbid     vt.禁止
bid     v.申请，争取
forgive     vt.原谅，宽恕
remote     adj.遥远的，偏僻的
exit     n.出口
visit     n.访问；参观
ambition     n.雄心，野心；抱负，志向
spirit     n.灵魂；幽灵，精灵；精神
expand     v.扩大（范围等）；使膨胀
spread     v.传播
explain     vt.解释，说明
explanation     n.解释，说明
plain     n.平原
plan     n.计划；打算
plane     n.飞机
planet     n.星球，行星
plant     n.植物，工厂，发电厂
explore     vt.探索，探究，探测
exploration     n.探险，踏勘，探测；研究
explorer     n.探险者, 勘探者, 考察者
explode     v.（使）爆炸
explosion     n.爆炸, 激增, 突增, 猛增
explosive     adj.易爆炸的, 可能引起爆炸的；爆炸性的；暴躁的；突增的；猛增的
experiment     n.实验，试验
experience     n.经历, 阅历; 经验; 体验
experienced     adj.有经验的, 熟练的, 有阅历的, 有见识的
expert     n.专家
excellent     adj.卓越的；优秀的
cell     n.细胞; 电池
exhibition     n.展览，展览会
habit     n.习惯；习性
excite     vt.使兴奋，使激动
excitement     n.兴奋, 激动, 刺激, 令人激动（或兴奋）的事
excited     adj.激动的, 兴奋的, 受刺激的, 紧张不安的
exciting     adj.令人激动的, 使人兴奋的
escape     vi.逃走；避免
extraordinary     adj.非凡的，特别的
extra     adj.额外的，外加的
ordinary     adj.普通的；平常的
extreme     adj.极端的，极度的
extremely     adv.非常, 极其, 极端
erupt     vi.（火山等）爆发
evolution     n.演变，演化；进化
eraser     n.橡皮
emergency     n.紧急情况，紧急事件
editor     n.编辑
edition     n.版；版本
condition     n.条件；状况
unconditional     adj.无条件的
credit     n.信用; 赊欠; 信贷; 贷方; 信誉; 赞扬; 荣誉; 学分;信赖
addition     n.加，增加
educate     vt.教育
education     n.教育
educator     n.教育工作者，教育家
effort     n.努力
comfort     n.安慰
comfortable     adj.舒服的，舒适的
uncomfortable     adj.不舒服的，不自在的
fortune     n.财富；运气，好运
fortunate     adj.幸运的，侥幸的
unfortunate     adj.不幸的
outcome     n.结果
outgoing     adj.爱交际的；友好的；外向的
outline     n.提纲；概要，要点
line     n.行，列，排；（电话等的）线路
underline     n.下划线
deadline     n.最后期限
headline     n.大字标题
influence     vt.影响，对…起作用；支配；感化
flow     vi.流动
flu     n.流行性感冒
fluent     adj.流利的，流畅的
fluency     n.流畅；流利
industry     n.工业；产业；企业
dust     n.灰尘，尘土
dusty     adj.尘土飞扬的，满是灰尘的
dustbin     n.（英）垃圾箱
instruct     vt.教授，传授
instruction     n.传授, 教授; 教导, 指导; 指示, 命令; 用法说明, 操作指南; [计] 指令
instrument     n.器械，器具；仪器
initial     adj.最初的，初始的
insure     vt.投保, 给…保险, 接受投保, 承保; <美>确保, 保证
sure     adv.当然，的确
insurance     n.保险
income     n.收入
come     vi.来
become     vi.成为；变得
welcome     int.欢迎
comedy     n.喜剧
insert     vt.插入；嵌入
inspire     vt.鼓舞，激励
inspiring     adj.鼓舞人心的, 激励的, 启发灵感的
spiritual     adj.精神的，心灵的
introduce     vt.介绍
introduction     n.介绍
immigration     n.移居, 外来移民, 移民人数
improve     vt.改进；改善
improvement     n.改进，改善
emperor     n.皇帝，君主
empire     n.帝国；大企业，企业集团
embarrass     vt.使尴尬，使困窘，使不好意思，使局促
embarrassing     adj.使人害羞的（或难堪的、惭愧的）, 使显得愚蠢的（或不诚实的等）
embarrassed     adj.害羞的, 难堪的, 尴尬的; 拮据的, 经济困难的
bar     n.条，棒；酒吧
barrier     n.障碍
barbecue     n.烧烤；烧烤野餐
barber     n.（为男人理发的）理发师
barbershop     n.理发店
bargain     n.便宜货；划算的买卖
energy     n.精力；活力；能量
energetic     adj.精力充沛的，充满活力的
enquiry     n.查询, 调查, 询问, 探索
enthusiastic     adj.热心的，热情的
thus     adv.因此，因而
enter     v.进入；加入；参加
entrance     n.入口
entry     n.参赛作品；进入；入口；条目
enterprise     n.计划；进取心；企业
entertainment     n.娱乐；娱乐表演
environment     n.环境
envelope     n.信封
irrigation     n.灌溉
decline     n.（数量、价值、质量等的）减少，下降，衰落，衰退
decrease     n.减少
increase     n.增加；增大；增长
debate     n.讨论，辩论，辩论会
design     n.设计
destroy     vt.毁坏，摧毁
determine     vt.确定，决定
defeat     vt.打败，战胜
demand     vt.需要，需求，要求
declare     vt.宣布，宣告，宣称
devote     vt.专心致力于；奉献；投入，献身
devotion     n.投入，献身
describe     vt.描述
description     n.描述
subway     n.地铁, 地下通道
subject     n.学科, 科目; 主体; 主语
subscribe     vt.认捐；捐助，赞助；签（名）；署（名）
suburb     n.郊区, 城外
urban     adj.城市的
subtropical     adj.亚热带的, 副热带的
suggestion     n.建议
suspect     n.嫌疑犯
suspension     n.悬浮, 悬浮液, 暂令停职（或停学、停赛等）, 暂缓
catastrophe     n.灾祸
category     n.类别，种类
superb     adj.极好的，棒的
super     adj.非常好的，非常优秀的；超级的
supermarket     n.超级市场，超市
being     n.物；生物；人
human being     n.人；人类
superior     adj.优越的，占优势的
junior     adj.年少的；初级的
senior     n.上级；上辈；高年级生
supreme     adj.最高的，至上的，卓越的
survive     vi.活下来，幸存
survival     n.幸存，生还
vivid     adj.生动的，栩栩如生的，活生生的
vital     adj.至关重要的；生死攸关的
vegetable     n.蔬菜
surround     vt.包围，环绕
surrounding     adj.周围的；环绕的
round     adj.圆的
roundabout     adj.绕道的；不直接的
around     prep.在……周围；在……各处；大约
ground     n.地面
underground     n.地铁
background     n.背景
surplus     n.剩余，过剩
plus     prep.加，加上
surface     n.表面；外表
face     n.脸
facial     adj.脸部的
surprise     n.惊奇，诧异
prison     n.监狱；监禁，关押；（喻）牢笼
prisoner     n.囚犯
overcome     vt.克服，战胜
overnight     adv.在夜间, 在晚上, 突然, 一夜之间
night     n.夜；夜间
tonight     n.今晚，今夜
fortnight     n.两星期
midnight     n.午夜
overweight     adj.肥胖的，体重超标的
weight     n.体重；重量；杠铃片
weigh     v.权衡；称……重量；重量为……；具有重要性
overcoat     n.大衣
coat     n.外套；涂层；表皮；皮毛
raincoat     n.雨衣
overhead     adj.在头顶上的；架空的
head     n.（人或动物等的）头，头部
forehead     n.额头
headache     n.头痛
headmistress     n.(尤指私立学校的)女校长
ahead     adv.提前，预先；超前地
overlook     vt.忽略，忽视；俯瞰
look     vi.看，瞧；看上去
upset     adj.心烦的，苦恼的
set     n.一套；一副；一组
settle     vt.使……定居；使……安顿，安放；解决（问题等）
settlement     n.安顿，定居；新拓居地；（美）部落，村落
settler     n.移居者；开拓者
upward     adj.向上的，上升的
upper     adj.上层的；上面的，上边的
update     n.升级，更新
date     n.日期；约会
forward     adv.向前；向着将来
forecast     n.预测，预报
cast     v.投，扔，抛，撒，掷；投射（视线等）选派……扮演某角色；为（戏剧、角色）选派演员
castle     n.城堡
foresee     vt.预见，预知，预测
see     vt.看见; 领会, 理解
seek     vt.征求，寻求；探索，探寻
seem     vi.好像，似乎
sightseeing     n.观光，游览
seed     n.种子
antique     n.古物, 古董
unique     adj.唯一的，独特的，独一无二的
technique     n.技术，技法，技巧
cheque     n.支票
queue     vi.排队，列队
queen     n.皇后
ancestor     n.祖先
ancient     adj.古代的，远古的
ex-president     n.前总裁
ex-premier     n.前总理
ex-minister     n.前部长
postpone     vt.推迟，延迟，使延期
post-impressionist     n.后印象主义画家
reject     vt.拒绝，抵制
refuse     v.拒绝
confuse     vt.使糊涂，使困惑；使混乱；混淆
reflect     vt.反映；反射
flexible     adj.灵活的；易弯曲的
rewind     vt.回转（磁带等）
wind     n.风
relax     v.放松
stepmother     n.继母
stepbrother     n.继兄弟
obvious     adj.明显的，显而易见的
obviously     adv.显然, 明显地
obtain     vt.得到，获得
object     n.物体；目标；宾语；对象
objective     adj.客观的
occupy     vt.占（时间、空间等）；占用
occupation     n.工作；职业
occupied     adj.已被占的，已居住的
cup     n.杯子
occur     vi.发生，出现
curtain     n.幕；窗帘；门帘
currency     n.货币
curriculum     n.课程
course     n.课程
court     n.球场；法庭，法院
courtyard     n.院子
offence     n.罪行；过错
oppose     vt.反对
opposite     prep.在……的对面
Antarctic     adj.南极的
Arctic     adj.北极的，北极区的
contradict     v.与……矛盾，同……抵触
contradictory     adj.矛盾的
controversial     adj.有争议的
contrary     n.相反
unable     adj.不能的，不会的，不能胜任的
unbearable     adj.无法忍受的
uncertain     adj.不确定的
unfit     adj.不健康的
unusual     adj.不寻常的，不平常的
unwilling     adj.不愿意的，不情愿的
unlike     prep.不像，和……不同
unknown     n.未知数, 未知的地方（或事物）, 无名者, 不出名的人
unclean     adj.肮脏的, 邪恶的, 不洁的, （宗教上所指）不洁净的
unfilled     adj.（职位）空缺的, （谈话中）停顿的, （糕饼）无馅的, （订单）未交货的
unhealthy     adj.不健康的, 虚弱的, 损害健康的, 对身体有害的
unafraid     adj.无畏的
unreachable     adj.不能得到的
unshakable     adj.不能改变的, 不可动摇的, 坚定不移的, 坚不可摧的
unshaped     adj.未经加工的，未成形的
unhappy     adj.不快乐的, 不幸福的, 难过的, 悲伤的
untimely     adj.过早的, 不到时间的, 突然的, 不合时宜的
unreasonably     adv.不合理地
unemployment     n.失业
unbalance     v.使失去平衡
unconcern     n.冷漠, 不关心, 无兴趣
untie     v.解开…的结；打开
unload     v.脱手, （从车、船上）卸, 退出, 推卸（责任）
unlock     v.开锁；开启，显露，放开
unmask     v.揭露，揭开
unchain     v.解开锁链
unplug     v.拔掉…的电源插头
unburden     v.倾诉, 诉说, 诉苦, 给…解除（负担）
unhair     v.去毛
unbutton     v.解开纽扣
unlace     v.解开带子
unchurch     v.开除教籍
unarm     v.缴械
disappear     vi.消失
dislike     vt.不喜欢，厌恶
disobey     v.违抗, 不服从, 不顺从
disqualify     v.取消…的资格，使不合格
discourage     vt.阻止，劝阻；使灰心，使气馁
disroot     v.连根拔起
disforest     v.乱砍滥伐
disburden     v.卸下(重担), 摆脱, 说明, 卸货
disadvantage     n.不利条件，不利因素，劣势
disease     n.疾病
discredit     v.败坏…的名声, 使丧失信誉, 使丢脸, 使不相信
disrepair     n.失修, 破损, 破败
dishonest     adj.不诚实的, 骗人的, 欺骗性的
disgusting     adj.令人厌恶的，令人作呕的
dissatisfied     adj.不满意的
discontinuous     adj.不连续的, 间断的, 断续的
disabled     adj.有残疾的；丧失能力的
disability     n.无能力；无力；残疾；伤残
mistake     n.错误
mistaken     adj.犯错的；错误的
misunderstand     vt.误解，误会
misunderstanding     n.误解, 误会, 争执, 意见不一
mislead     v.误导；使误入歧途
misjudge     v.对……有错误认识；对……判断失误
misbehave     v.行为不端
miscalculate     v.算错, 对…判断错误
misfortune     n.不幸，灾祸
misadventure     n.灾难，厄运，不幸遭遇
misconduct     n.行为不端, 失职, 处理不当, 管理不善
mispronunciation     n.发音错误
immediately     adv.立即，马上
immodest     adj.傲慢无礼的；自我吹嘘的
impossible     adj.不可能的
improper     adj.不合适的，不适当的；不正当的，不道德的；错误的
impatient     adj.急于, 不耐烦的, 没有耐心的, 热切期待
impolite     adj.不礼貌的, 粗鲁的
imperfect     adj.有缺点的, 有缺陷的, 不完全的, 不完美的
illegal     adj.违法的，非法的
illimitable     adj.无限的
illogical     adj.悖理的, 不合逻辑的, 乖戾的
illiterate     adj.文盲的，不识字的；（某方面）无知的，外行的；行文不通顺的
irregular     adj.不整齐的，不平整的，参差不齐的，不规则的，无规律的；不正常的，不合乎常规的；非正规军的
irresistible     adj.不可遏止的, 无法抵制的, 极诱人的, 忍不住想要的
irrecognizable     adj.无法认出的，不易识别的
irresponsible     adj.不负责任的, 无责任感的
inactive     adj.无行动的, 不活动的, 不活跃的, 未使用的
inexperienced     adj.缺乏认识（或经验）的
inappropriate     adj.不合时宜的, 不适用的, 不适合的, 不正当的
inaccurate     adj.不准确的，不精确的；有错误的
innocent     adj.无罪的；天真的
incorrect     adj.不准确的, 不正确的, 不真实的, （说话或举止）不合规矩的
insecure     adj.缺乏信心的, 无把握的, 不安全的, 无保障的
indirect     adj.间接的；迂回的；含蓄的
independence     n.独立
inability     n.不能, 无力, 无能
imbalance     n.失衡, 不平衡, 不公平
injustice     n.不公正
nonprofessional     adj.无职业的, 无专行的, 非科班出身的, 和专门工作无关系的
nonpublic     adj.非公开的
nonexistent     adj.不存在的
nonsense     n.废话，胡说
nonviolence     n.非暴力主义
nonmetal     n.非金属元素
nonsmoker     n.不吸烟者
nonstop     adj.不停的, (列车,飞机等)直达的
nonprofit     adj.非营利的
nonparty     adj.无党派的
nondollar     adj.非美元的
anonymous     adj.不知姓名的, 名字不公开的, 匿名的, 不具名的
anharmonic     adj.非简谐的
anechoic     adj.没有回声的
anarchic     adj.无政府(主义)的
atom     n.原子
asocial     adj.孤僻的，不爱社交的
atypical     adj.非典型的
apolitical     adj.不关心政治的, 不重视政治的, 与政党无关的
aside     adv.在旁边
alone     adv.独自地，单独地
afoot     adj.计划中, 进行中
ashore     adv.在岸上; 上岸; 向岸
aloud     adv.大声地
ashamed     adj.惭愧的，羞愧的
alike     adv.同样地
asleep     adj.睡着的
awake     adj.醒着的
alive     adj.活着的；存在的
afloat     adj.（在水上）漂浮, 有偿债能力, 能维持下去
stand     v.站；立；容忍，忍让；经受，遭受
understand     v.懂得，理解
understandable     adj.合情理的, 正常的, 可以理解的, 易懂的
understanding     n.理解, 了解, 谅解, 领悟
outstanding     adj.杰出的，显著的
outstandingly     adv.非常地，出色地，格外地
standard     n.标准
standardize     v.使标准化, 使符合标准（或规格）
standardization     n.标准化
non-standard     adj.非标准的, 不规范的, （尺寸、型号等）不标准的
steward     n.乘务员, 服务员; 管理员; 管家;（比赛、集会等大型公众活动的）负责人, 统筹人, 管事, 干事
mustard     n.芥末；芥子酱
stage     n.舞台
stair     n.（常用复数stairs）楼梯
upstairs     adv.在楼上，到楼上
downstairs     adv.到楼下，在楼下
stay     vi.停留，逗留，呆；保持
ray     n.光线；射线
X-ray     n.X光，X射线
spray     n.水雾，喷雾器
betray     vt.出卖，背叛
grey     n.灰色，灰白
gay     adj.快乐的; 同性恋的; 与同性恋者有关的
bay     n.湾；海湾
